# 20260704_1136_precise_history
# 服务器地址	状态	有效次数	无效次数
maomizi.cn:9527	无效	0	1
mao.mao.la:4000	无效	0	49
www.cyj.plus:50000	无效	0	49
www.88298968.xyz:4022	无效	0	49
dev.cncopd.com:22	无效	0	1
dsm.huase.ltd:8888	无效	0	1
evansp1.mycloudnas.com:4000	无效	0	49
hp8064.vip:4004	有效	1	48
hp8064.vip:4018	有效	1	48
aikuai-ds1817.f3322.net:10000	无效	0	49
aikuai-ds1817.f3322.net:888	无效	0	49
lcm.65398268.xyz:8008	无效	0	49
xwefev.direct.quickconnect.to:7088	无效	0	49
dsl1.oni2023.uk:8888	无效	0	49
www.smart.3616191.xyz:8800	无效	0	49
tiandong.site:8188	无效	0	23
o.1680000.xyz:12346	无效	0	49
drive.mtoo.vip:8333	无效	0	1
ms.zwhst.cn:8888	无效	0	49
szwinner.synology.me:18888	无效	0	49
calltxy.synology.me:10000	无效	0	49
itv.8866.org:10034	无效	0	49
itv.8866.org:40005	无效	0	49
soogeen.dns.navy:4022	无效	0	49
zhengyilu503.myqnapcloud.com:5000	无效	0	49
﻿# 2026/05/24 22:34	无效	0	49
116.30.251.44:9876	有效	7	41
116.30.248.228:9876	有效	7	41
113.119.25.156:58888	有效	21	27
nas.xxika.net:8188	有效	47	1
113.119.26.139:58888	无效	0	48
home.haojunmei.top:7788	无效	0	48
lims.lcqst.com:4500	无效	0	48
www.luwenbin.com:9992	无效	0	48
vp.maomizi.cc:9527	有效	19	29
svn.huase.ltd:8888	有效	3	45
test1.cncopd.com:22	无效	0	48
ru.881488.xyz:4022	无效	0	48
my.mtoo.vip:8333	无效	0	48
113.104.239.181:7088	有效	1	45
113.104.186.67:7088	有效	3	43
113.119.27.38:58888	无效	0	46
113.104.238.211:7088	有效	3	41
113.119.26.129:58888	无效	0	44
113.104.184.106:7088	有效	8	34
113.83.248.129:4200	有效	9	33
113.119.26.172:58888	无效	0	42
14.19.174.252:4022	无效	0	41
116.30.251.161:9876	有效	4	34
116.30.248.148:9876	有效	4	34
113.119.27.147:58888	无效	0	38
183.51.190.239:6633	无效	0	36
113.119.27.40:58888	无效	0	34
113.104.186.222:7088	有效	1	32
113.83.248.19:4200	有效	5	28
113.119.27.127:58888	无效	0	29
113.104.238.106:7088	有效	1	27
113.83.248.92:4200	有效	5	23
113.119.26.155:58888	无效	0	28
113.119.25.7:58888	有效	7	20
14.145.179.142:8888	无效	0	27
pass.881488.xyz:4022	无效	0	2
113.104.239.108:7088	有效	5	21
113.101.245.173:9988	有效	2	24
113.119.27.118:58888	无效	0	26
113.119.27.128:58888	无效	0	24
113.83.248.199:4200	有效	5	18
