陕西电信-组播1,#genre#
北京优优宝贝,http://36.46.98.59:8025/rtp/239.111.205.62:5140
北京环球旅游,http://36.46.98.59:8025/rtp/239.111.205.61:5140
北京生态环境,http://36.46.98.59:8025/rtp/239.111.205.60:5140
北京车迷频道,http://36.46.98.59:8025/rtp/239.111.205.63:5140
北京卡酷少儿,http://36.46.98.59:8025/rtp/239.109.205.124:8928
北京卡酷少儿,http://36.46.98.59:8025/rtp/239.112.205.138:5140
呼和浩特足球,http://36.46.98.59:8025/rtp/239.110.205.25:9846
上海游戏风云,http://36.46.98.59:8025/rtp/239.109.205.62:8432
上海游戏风云,http://36.46.98.59:8025/rtp/239.109.205.195:9642
上海游戏风云,http://36.46.98.59:8025/rtp/239.111.205.183:5140
上海乐游,http://36.46.98.59:8025/rtp/239.109.205.56:8384
上海法治天地,http://36.46.98.59:8025/rtp/239.109.205.57:8392
上海法治天地,http://36.46.98.59:8025/rtp/239.111.205.178:5140
上海都市剧场,http://36.46.98.59:8025/rtp/239.109.205.50:8336
上海都市剧场,http://36.46.98.59:8025/rtp/239.109.205.77:8552
上海都市剧场,http://36.46.98.59:8025/rtp/239.111.205.171:5140
上海多彩文体4K,http://36.46.98.59:8025/rtp/239.109.205.51:8344
上海多彩文体4K,http://36.46.98.59:8025/rtp/239.110.205.36:9850
上海多彩文体4K,http://36.46.98.59:8025/rtp/239.112.205.236:5140
上海金色学堂,http://36.46.98.59:8025/rtp/239.109.205.65:8456
上海生活时尚,http://36.46.98.59:8025/rtp/239.109.205.55:8376
上海生活时尚,http://36.46.98.59:8025/rtp/239.111.205.176:5140
上海纪实人文,http://36.46.98.59:8025/rtp/239.109.205.52:8352
上海纪实人文,http://36.46.98.59:8025/rtp/239.109.205.215:9216
上海纪实人文,http://36.46.98.59:8025/rtp/239.111.205.14:5140
上海纪实人文,http://36.46.98.59:8025/rtp/239.111.205.177:5140
江苏财富天下,http://36.46.98.59:8025/rtp/239.109.205.94:8688
江苏财富天下,http://36.46.98.59:8025/rtp/239.112.205.196:5140
湖南金鹰纪实,http://36.46.98.59:8025/rtp/239.109.205.59:8408
湖南金鹰纪实,http://36.46.98.59:8025/rtp/239.112.205.203:5140
湖南金鹰卡通,http://36.46.98.59:8025/rtp/239.109.205.42:8272
湖南金鹰卡通,http://36.46.98.59:8025/rtp/239.112.205.136:5140
广东嘉佳卡通,http://36.46.98.59:8025/rtp/239.109.205.150:9078
广东嘉佳卡通,http://36.46.98.59:8025/rtp/239.112.205.135:5140
金色频道,http://36.46.98.59:8025/rtp/239.111.205.186:5140
极速汽车,http://36.46.98.59:8025/rtp/239.109.205.64:8448
央广购物,http://36.46.98.59:8025/rtp/239.109.205.75:8536
优购物,http://36.46.98.59:8025/rtp/239.109.205.101:8744
家有购物,http://36.46.98.59:8025/rtp/239.110.205.31:9788

山西优购物,http://36.46.98.59:8025/rtp/239.112.205.209:5140
山东教育,http://36.46.98.59:8025/rtp/239.112.205.197:5140
湖南快乐购,http://36.46.98.59:8025/rtp/239.111.205.37:5140
西安1,http://36.46.98.59:8025/rtp/239.109.205.130:8976
西安2,http://36.46.98.59:8025/rtp/239.109.205.131:8984
西安3,http://36.46.98.59:8025/rtp/239.110.205.38:9858
西安4,http://36.46.98.59:8025/rtp/239.110.205.39:9862
西安丝路频道,http://36.46.98.59:8025/rtp/239.112.205.176:5140
西安戏剧影视,http://36.46.98.59:8025/rtp/239.112.205.175:5140
西安教育,http://36.46.98.59:8025/rtp/239.110.205.24:9842
西安教育频道,http://36.46.98.59:8025/rtp/239.112.205.142:5140
西安新闻综合,http://36.46.98.59:8025/rtp/239.111.205.242:5140
西安都市频道,http://36.46.98.59:8025/rtp/239.111.205.243:5140
铜川,http://36.46.98.59:8025/rtp/239.109.205.194:9638
铜川[785*576],http://36.46.98.59:8025/rtp/239.111.205.29:5140
