广东移动华为-组播1,#genre#
山西书画频道,http://gaoxing.dns.army:10086/rtp/239.11.0.174:1025
上海纪实人文,http://gaoxing.dns.army:10086/rtp/239.10.0.78:1025
杭州求索纪录,http://gaoxing.dns.army:10086/rtp/239.11.0.128:1025
湖北快乐垂钓,http://gaoxing.dns.army:10086/rtp/239.11.0.131:1025
湖南茶频道,http://gaoxing.dns.army:10086/rtp/239.11.0.130:1025
湖南金鹰纪实,http://gaoxing.dns.army:10086/rtp/239.10.0.59:1025
湖南金鹰纪实,http://gaoxing.dns.army:10086/rtp/239.10.0.206:1025
湖南金鹰卡通,http://gaoxing.dns.army:10086/rtp/239.11.0.125:1025
广东岭南戏曲,http://gaoxing.dns.army:10086/rtp/239.10.0.125:1025
广东岭南戏曲,http://gaoxing.dns.army:10086/rtp/239.11.0.180:1025
广东嘉佳卡通,http://gaoxing.dns.army:10086/rtp/239.10.0.200:1025
广东嘉佳卡通,http://gaoxing.dns.army:10086/rtp/239.10.0.129:1025
重庆汽摩,http://gaoxing.dns.army:10086/rtp/239.10.0.232:1025
陕西国学频道,http://gaoxing.dns.army:10086/rtp/239.10.0.38:1025

北京纪实,http://gaoxing.dns.army:10086/rtp/239.10.0.184:1025
广东体育,http://gaoxing.dns.army:10086/rtp/239.10.0.47:1025
广东体育,http://gaoxing.dns.army:10086/rtp/239.10.0.113:1025
广东公共,http://gaoxing.dns.army:10086/rtp/239.11.0.80:1025
广东少儿,http://gaoxing.dns.army:10086/rtp/239.10.0.128:1025
广东少儿,http://gaoxing.dns.army:10086/rtp/239.11.0.81:1025
广东影视,http://gaoxing.dns.army:10086/rtp/239.11.0.79:1025
广东新闻,http://gaoxing.dns.army:10086/rtp/239.10.0.199:1025
广东珠江,http://gaoxing.dns.army:10086/rtp/239.10.0.62:1025
广东珠江,http://gaoxing.dns.army:10086/rtp/239.10.0.63:1025
广东科教,http://gaoxing.dns.army:10086/rtp/239.10.0.46:1025
广东科教,http://gaoxing.dns.army:10086/rtp/239.10.0.112:1025
广东综艺-4K,http://gaoxing.dns.army:10086/rtp/239.10.0.64:1025
广东综艺-4K,http://gaoxing.dns.army:10086/rtp/239.10.0.75:1025
广州云课堂,http://gaoxing.dns.army:10086/rtp/239.11.0.150:1025
广州云课堂,http://gaoxing.dns.army:10086/rtp/239.11.0.151:1025
广州云课堂,http://gaoxing.dns.army:10086/rtp/239.11.0.152:1025
广州云课堂,http://gaoxing.dns.army:10086/rtp/239.11.0.153:1025
广州云课堂,http://gaoxing.dns.army:10086/rtp/239.11.0.154:1025
广州云课堂,http://gaoxing.dns.army:10086/rtp/239.11.0.155:1025
广州云课堂,http://gaoxing.dns.army:10086/rtp/239.11.0.156:1025
广州云课堂,http://gaoxing.dns.army:10086/rtp/239.11.0.157:1025
广州云课堂,http://gaoxing.dns.army:10086/rtp/239.11.0.158:1025
广州云课堂,http://gaoxing.dns.army:10086/rtp/239.11.0.159:1025
广州云课堂,http://gaoxing.dns.army:10086/rtp/239.11.0.160:1025
广州影视,http://gaoxing.dns.army:10086/rtp/239.11.0.140:1025
广州新闻,http://gaoxing.dns.army:10086/rtp/239.11.0.139:1025
广州法治,http://gaoxing.dns.army:10086/rtp/239.11.0.141:1025
广州竞赛,http://gaoxing.dns.army:10086/rtp/239.11.0.142:1025
广州综合,http://gaoxing.dns.army:10086/rtp/239.11.0.138:1025
韶关公共,http://gaoxing.dns.army:10086/rtp/239.11.0.85:1025
韶关综合,http://gaoxing.dns.army:10086/rtp/239.11.0.84:1025
珠海一套,http://gaoxing.dns.army:10086/rtp/239.10.0.242:1025
珠海二套,http://gaoxing.dns.army:10086/rtp/239.10.0.65:1025
佛山公共,http://gaoxing.dns.army:10086/rtp/239.11.0.114:1025
佛山南海,http://gaoxing.dns.army:10086/rtp/239.11.0.115:1025
佛山影视,http://gaoxing.dns.army:10086/rtp/239.11.0.117:1025
佛山综合,http://gaoxing.dns.army:10086/rtp/239.11.0.118:1025
佛山顺德,http://gaoxing.dns.army:10086/rtp/239.11.0.116:1025
江门公共,http://gaoxing.dns.army:10086/rtp/239.10.0.139:1025
江门教育,http://gaoxing.dns.army:10086/rtp/239.10.0.152:1025
江门综合,http://gaoxing.dns.army:10086/rtp/239.10.0.219:1025
湛江公共,http://gaoxing.dns.army:10086/rtp/239.10.0.254:1025
湛江综合,http://gaoxing.dns.army:10086/rtp/239.10.0.253:1025
茂名公共,http://gaoxing.dns.army:10086/rtp/239.11.0.99:1025
茂名综合,http://gaoxing.dns.army:10086/rtp/239.10.0.238:1025
肇庆公共,http://gaoxing.dns.army:10086/rtp/239.11.0.54:1025
肇庆综合,http://gaoxing.dns.army:10086/rtp/239.11.0.53:1025
清远公共,http://gaoxing.dns.army:10086/rtp/239.11.0.75:1025
清远综合,http://gaoxing.dns.army:10086/rtp/239.11.0.74:1025
中山公共,http://gaoxing.dns.army:10086/rtp/239.11.0.123:1025
中山教育,http://gaoxing.dns.army:10086/rtp/239.11.0.124:1025
中山综合,http://gaoxing.dns.army:10086/rtp/239.11.0.122:1025
云浮公共,http://gaoxing.dns.army:10086/rtp/239.11.0.97:1025
云浮综合,http://gaoxing.dns.army:10086/rtp/239.11.0.96:1025

0-8,http://gaoxing.dns.army:10086/rtp/239.10.0.8:1025
0-9,http://gaoxing.dns.army:10086/rtp/239.10.0.9:1025
0-10,http://gaoxing.dns.army:10086/rtp/239.10.0.10:1025
0-11,http://gaoxing.dns.army:10086/rtp/239.10.0.11:1025
0-12,http://gaoxing.dns.army:10086/rtp/239.10.0.12:1025
0-13,http://gaoxing.dns.army:10086/rtp/239.10.0.13:1025
0-14,http://gaoxing.dns.army:10086/rtp/239.10.0.14:1025
0-15,http://gaoxing.dns.army:10086/rtp/239.10.0.15:1025
0-15,http://gaoxing.dns.army:10086/rtp/239.11.0.15:1025
0-16,http://gaoxing.dns.army:10086/rtp/239.10.0.16:1025
0-16,http://gaoxing.dns.army:10086/rtp/239.11.0.16:1025
0-17,http://gaoxing.dns.army:10086/rtp/239.10.0.17:1025
0-18,http://gaoxing.dns.army:10086/rtp/239.10.0.18:1025
0-19,http://gaoxing.dns.army:10086/rtp/239.10.0.19:1025
0-20,http://gaoxing.dns.army:10086/rtp/239.10.0.20:1025
0-21,http://gaoxing.dns.army:10086/rtp/239.10.0.21:1025
0-26,http://gaoxing.dns.army:10086/rtp/239.11.0.26:1025
0-35,http://gaoxing.dns.army:10086/rtp/239.11.0.35:1025
0-36,http://gaoxing.dns.army:10086/rtp/239.11.0.36:1025
0-42,http://gaoxing.dns.army:10086/rtp/239.10.0.42:1025
0-46,http://gaoxing.dns.army:10086/rtp/239.10.0.46:1025
0-47,http://gaoxing.dns.army:10086/rtp/239.10.0.47:1025
0-50,http://gaoxing.dns.army:10086/rtp/239.10.0.50:1025
0-53,http://gaoxing.dns.army:10086/rtp/239.11.0.53:1025
0-54,http://gaoxing.dns.army:10086/rtp/239.11.0.54:1025
0-56,http://gaoxing.dns.army:10086/rtp/239.10.0.56:1025
0-58,http://gaoxing.dns.army:10086/rtp/239.10.0.58:1025
0-59,http://gaoxing.dns.army:10086/rtp/239.10.0.59:1025
0-62,http://gaoxing.dns.army:10086/rtp/239.10.0.62:1025
0-63,http://gaoxing.dns.army:10086/rtp/239.10.0.63:1025
0-69,http://gaoxing.dns.army:10086/rtp/239.10.0.69:1025
0-69,http://gaoxing.dns.army:10086/rtp/239.11.0.69:1025
0-70,http://gaoxing.dns.army:10086/rtp/239.11.0.70:1025
0-74,http://gaoxing.dns.army:10086/rtp/239.11.0.74:1025
0-75,http://gaoxing.dns.army:10086/rtp/239.10.0.75:1025
0-75,http://gaoxing.dns.army:10086/rtp/239.11.0.75:1025
0-76,http://gaoxing.dns.army:10086/rtp/239.10.0.76:1025
0-76,http://gaoxing.dns.army:10086/rtp/239.11.0.76:1025
0-77,http://gaoxing.dns.army:10086/rtp/239.11.0.77:1025
0-79,http://gaoxing.dns.army:10086/rtp/239.11.0.79:1025
0-80,http://gaoxing.dns.army:10086/rtp/239.11.0.80:1025
0-83,http://gaoxing.dns.army:10086/rtp/239.10.0.83:1025
0-84,http://gaoxing.dns.army:10086/rtp/239.10.0.84:1025
0-84,http://gaoxing.dns.army:10086/rtp/239.11.0.84:1025
0-86,http://gaoxing.dns.army:10086/rtp/239.10.0.86:1025
0-90,http://gaoxing.dns.army:10086/rtp/239.10.0.90:1025
0-91,http://gaoxing.dns.army:10086/rtp/239.10.0.91:1025
0-92,http://gaoxing.dns.army:10086/rtp/239.10.0.92:1025
0-93,http://gaoxing.dns.army:10086/rtp/239.10.0.93:1025
0-93,http://gaoxing.dns.army:10086/rtp/239.11.0.93:1025
0-94,http://gaoxing.dns.army:10086/rtp/239.10.0.94:1025
0-95,http://gaoxing.dns.army:10086/rtp/239.10.0.95:1025
0-95,http://gaoxing.dns.army:10086/rtp/239.11.0.95:1025
0-96,http://gaoxing.dns.army:10086/rtp/239.10.0.96:1025
0-96,http://gaoxing.dns.army:10086/rtp/239.11.0.96:1025
0-97,http://gaoxing.dns.army:10086/rtp/239.10.0.97:1025
0-97,http://gaoxing.dns.army:10086/rtp/239.11.0.97:1025
0-98,http://gaoxing.dns.army:10086/rtp/239.10.0.98:1025
0-99,http://gaoxing.dns.army:10086/rtp/239.10.0.99:1025
0-99,http://gaoxing.dns.army:10086/rtp/239.11.0.99:1025
0-100,http://gaoxing.dns.army:10086/rtp/239.10.0.100:1025
0-107,http://gaoxing.dns.army:10086/rtp/239.10.0.107:1025
0-108,http://gaoxing.dns.army:10086/rtp/239.10.0.108:1025
0-109,http://gaoxing.dns.army:10086/rtp/239.10.0.109:1025
0-109,http://gaoxing.dns.army:10086/rtp/239.11.0.109:1025
0-110,http://gaoxing.dns.army:10086/rtp/239.10.0.110:1025
0-110,http://gaoxing.dns.army:10086/rtp/239.11.0.110:1025
0-111,http://gaoxing.dns.army:10086/rtp/239.11.0.111:1025
0-112,http://gaoxing.dns.army:10086/rtp/239.10.0.112:1025
0-113,http://gaoxing.dns.army:10086/rtp/239.11.0.113:1025
0-114,http://gaoxing.dns.army:10086/rtp/239.11.0.114:1025
0-115,http://gaoxing.dns.army:10086/rtp/239.11.0.115:1025
0-116,http://gaoxing.dns.army:10086/rtp/239.10.0.116:1025
0-116,http://gaoxing.dns.army:10086/rtp/239.11.0.116:1025
0-117,http://gaoxing.dns.army:10086/rtp/239.10.0.117:1025
0-118,http://gaoxing.dns.army:10086/rtp/239.10.0.118:1025
0-118,http://gaoxing.dns.army:10086/rtp/239.11.0.118:1025
0-119,http://gaoxing.dns.army:10086/rtp/239.11.0.119:1025
0-121,http://gaoxing.dns.army:10086/rtp/239.10.0.121:1025
0-122,http://gaoxing.dns.army:10086/rtp/239.10.0.122:1025
0-122,http://gaoxing.dns.army:10086/rtp/239.11.0.122:1025
0-123,http://gaoxing.dns.army:10086/rtp/239.10.0.123:1025
0-124,http://gaoxing.dns.army:10086/rtp/239.10.0.124:1025
0-126,http://gaoxing.dns.army:10086/rtp/239.10.0.126:1025
0-127,http://gaoxing.dns.army:10086/rtp/239.10.0.127:1025
0-139,http://gaoxing.dns.army:10086/rtp/239.11.0.139:1025
0-140,http://gaoxing.dns.army:10086/rtp/239.10.0.140:1025
0-141,http://gaoxing.dns.army:10086/rtp/239.10.0.141:1025
0-143,http://gaoxing.dns.army:10086/rtp/239.10.0.143:1025
0-144,http://gaoxing.dns.army:10086/rtp/239.10.0.144:1025
0-145,http://gaoxing.dns.army:10086/rtp/239.10.0.145:1025
0-146,http://gaoxing.dns.army:10086/rtp/239.10.0.146:1025
0-147,http://gaoxing.dns.army:10086/rtp/239.10.0.147:1025
0-148,http://gaoxing.dns.army:10086/rtp/239.10.0.148:1025
0-154,http://gaoxing.dns.army:10086/rtp/239.10.0.154:1025
0-155,http://gaoxing.dns.army:10086/rtp/239.10.0.155:1025
0-161,http://gaoxing.dns.army:10086/rtp/239.10.0.161:1025
0-161,http://gaoxing.dns.army:10086/rtp/239.11.0.161:1025
0-162,http://gaoxing.dns.army:10086/rtp/239.10.0.162:1025
