四川电信-组播1,#genre#
CCTV-怀旧剧场,http://171.88.107.244:8118/udp/239.93.1.198:5140
CCTV-风云剧场,http://171.88.107.244:8118/udp/239.93.1.156:5140
CGTN英语,http://171.88.107.244:8118/udp/239.94.0.40:5140
CGTN英语,http://171.88.107.244:8118/udp/239.93.0.104:5140
CGTN英语,http://171.88.107.244:8118/udp/239.94.0.22:5140
CGTN西班牙语,http://171.88.107.244:8118/udp/239.94.1.65:5140
CGTN法语,http://171.88.107.244:8118/udp/239.93.42.50:5140
CGTN法语,http://171.88.107.244:8118/udp/239.94.1.62:5140
CGTN法语,http://171.88.107.244:8118/udp/239.94.1.66:5140
CETV-1综合教育,http://171.88.107.244:8118/udp/239.93.1.111:5140
CETV-1综合教育,http://171.88.107.244:8118/udp/239.94.1.2:5140
CETV-2空中课堂,http://171.88.107.244:8118/udp/239.94.1.19:5140
CETV-4职业教育,http://171.88.107.244:8118/udp/239.94.1.20:5140
CHC家庭影院,http://171.88.107.244:8118/udp/239.93.42.6:5140
CHC家庭影院,http://171.88.107.244:8118/udp/239.94.1.173:5140
CHC影迷电影,http://171.88.107.244:8118/udp/239.93.42.5:5140
CHC影迷电影,http://171.88.107.244:8118/udp/239.94.1.174:5140
CHC动作电影,http://171.88.107.244:8118/udp/239.93.42.7:5140
CHC动作电影,http://171.88.107.244:8118/udp/239.94.1.175:5140
中国交通,http://171.88.107.244:8118/udp/239.94.0.87:5140
中国天气,http://171.88.107.244:8118/udp/239.94.1.167:5140
iHOT爱谍战,http://171.88.107.244:8118/udp/239.93.42.14:5140
iHOT爱谍战,http://171.88.107.244:8118/udp/239.94.1.134:5140
iHOT爱动漫,http://171.88.107.244:8118/udp/239.93.42.23:5140
iHOT爱动漫,http://171.88.107.244:8118/udp/239.94.1.141:5140
iHOT爱都市,http://171.88.107.244:8118/udp/239.93.42.15:5140
iHOT爱科幻,http://171.88.107.244:8118/udp/239.93.42.10:5140
iHOT爱科幻,http://171.88.107.244:8118/udp/239.94.1.131:5140
iHOT爱浪漫,http://171.88.107.244:8118/udp/239.93.42.21:5140
iHOT爱浪漫,http://171.88.107.244:8118/udp/239.94.1.128:5140
iHOT爱历史,http://171.88.107.244:8118/udp/239.93.42.13:5140
iHOT爱历史,http://171.88.107.244:8118/udp/239.94.1.135:5140
iHOT爱旅行,http://171.88.107.244:8118/udp/239.93.42.16:5140
iHOT爱旅行,http://171.88.107.244:8118/udp/239.94.1.137:5140
iHOT爱奇谈,http://171.88.107.244:8118/udp/239.93.42.22:5140
iHOT爱奇谈,http://171.88.107.244:8118/udp/239.94.1.130:5140
iHOT爱赛车,http://171.88.107.244:8118/udp/239.93.42.20:5140
iHOT爱赛车,http://171.88.107.244:8118/udp/239.94.1.144:5140
iHOT爱体育,http://171.88.107.244:8118/udp/239.93.42.19:5140
iHOT爱体育,http://171.88.107.244:8118/udp/239.94.1.44:5140
iHOT爱体育,http://171.88.107.244:8118/udp/239.94.1.143:5140
iHOT爱玩具,http://171.88.107.244:8118/udp/239.93.42.18:5140
iHOT爱玩具,http://171.88.107.244:8118/udp/239.94.1.140:5140
iHOT爱喜剧,http://171.88.107.244:8118/udp/239.93.42.9:5140
iHOT爱喜剧,http://171.88.107.244:8118/udp/239.94.2.71:5140
iHOT爱喜剧,http://171.88.107.244:8118/udp/239.94.1.129:5140
iHOT爱悬疑,http://171.88.107.244:8118/udp/239.93.42.12:5140
iHOT爱悬疑,http://171.88.107.244:8118/udp/239.94.1.136:5140
iHOT爱幼教,http://171.88.107.244:8118/udp/239.93.42.17:5140
iHOT爱幼教,http://171.88.107.244:8118/udp/239.94.1.139:5140
iHOT爱院线,http://171.88.107.244:8118/udp/239.93.42.11:5140
iHOT爱院线,http://171.88.107.244:8118/udp/239.94.1.132:5140
爱生活高清专区,http://171.88.107.244:8118/udp/239.94.1.41:5140
爱宠宠物专区,http://171.88.107.244:8118/udp/239.93.42.32:5140
爱宠宠物专区,http://171.88.107.244:8118/udp/239.94.1.145:5140
爱上4K,http://171.88.107.244:8118/udp/239.93.0.97:5140
爱上4K,http://171.88.107.244:8118/udp/239.94.0.21:5140
江苏优漫卡通,http://171.88.107.244:8118/udp/239.94.1.31:5140
北京优优宝贝,http://171.88.107.244:8118/udp/239.94.1.18:5140
北京四海钓鱼,http://171.88.107.244:8118/udp/239.94.1.168:5140
北京环球旅游,http://171.88.107.244:8118/udp/239.94.1.147:5140
北京纪实科教,http://171.88.107.244:8118/udp/239.94.0.109:5140
北京卡酷少儿,http://171.88.107.244:8118/udp/239.94.1.29:5140
山西书画频道,http://171.88.107.244:8118/udp/239.94.1.163:5140
辽宁家庭理财,http://171.88.107.244:8118/udp/239.94.1.50:5140
上海东方财经,http://171.88.107.244:8118/udp/239.93.1.165:5140
上海东方财经,http://171.88.107.244:8118/udp/239.94.1.59:5140
上海动漫秀场,http://171.88.107.244:8118/udp/239.94.1.171:5140
上海游戏风云,http://171.88.107.244:8118/udp/239.94.1.46:5140
上海乐游,http://171.88.107.244:8118/udp/239.94.1.164:5140
上海法治天地,http://171.88.107.244:8118/udp/239.94.1.166:5140
上海都市剧场,http://171.88.107.244:8118/udp/239.93.42.30:5140
上海都市剧场,http://171.88.107.244:8118/udp/239.94.1.133:5140
上海多彩文体4K,http://171.88.107.244:8118/udp/239.93.0.145:5140
上海多彩文体4K,http://171.88.107.244:8118/udp/239.94.1.176:5140
上海金色学堂,http://171.88.107.244:8118/udp/239.94.1.165:5140
上海生活时尚,http://171.88.107.244:8118/udp/239.93.42.29:5140
上海生活时尚,http://171.88.107.244:8118/udp/239.94.1.40:5140
上海生活时尚,http://171.88.107.244:8118/udp/239.94.1.146:5140
上海纪实人文,http://171.88.107.244:8118/udp/239.93.1.137:5140
江苏财富天下,http://171.88.107.244:8118/udp/239.94.1.42:5140
江苏财富天下,http://171.88.107.244:8118/udp/239.94.1.67:5140
湖北精彩影视,http://171.88.107.244:8118/udp/239.94.1.172:5140
