广东移动-组播1,#genre#
咪咕-赛事26,http://120.234.187.66:10086/udp/239.11.0.20:1025
咪咕-赛事27,http://120.234.187.66:10086/rtp/239.21.0.31:3464
咪咕-赛事27,http://120.234.187.66:10086/udp/239.11.0.21:1025
咪咕-赛事28,http://120.234.187.66:10086/rtp/239.21.0.32:3468
咪咕-赛事28,http://120.234.187.66:10086/udp/239.11.0.22:1025
咪咕-赛事29,http://120.234.187.66:10086/rtp/239.21.0.33:3472
咪咕-赛事3,http://120.234.187.66:10086/rtp/239.20.0.43:3232
咪咕-赛事3,http://120.234.187.66:10086/udp/239.10.0.89:1025
咪咕-赛事4,http://120.234.187.66:10086/rtp/239.20.0.14:3348
咪咕-赛事4,http://120.234.187.66:10086/udp/239.10.0.247:1025
咪咕-赛事5,http://120.234.187.66:10086/rtp/239.20.0.13:3352
咪咕-赛事5,http://120.234.187.66:10086/udp/239.10.0.248:1025
咪咕-赛事6,http://120.234.187.66:10086/rtp/239.20.0.12:3356
咪咕-赛事6,http://120.234.187.66:10086/udp/239.10.0.249:1025
咪咕-赛事7,http://120.234.187.66:10086/rtp/239.20.0.11:3360
咪咕-赛事7,http://120.234.187.66:10086/udp/239.10.0.250:1025
咪咕-赛事8,http://120.234.187.66:10086/rtp/239.20.0.10:3364
咪咕-赛事8,http://120.234.187.66:10086/udp/239.10.0.251:1025
咪咕-赛事9,http://120.234.187.66:10086/rtp/239.20.0.09:3368
咪咕-赛事9,http://120.234.187.66:10086/udp/239.10.0.252:1025
咪咕4K,http://120.234.187.66:10086/rtp/239.20.0.66:3136
咪咕赛事4K,http://120.234.187.66:10086/rtp/239.10.0.68:1025
IPTV3+综艺,http://120.234.187.66:10086/rtp/239.20.0.236:2270
IPTV5+,http://120.234.187.66:10086/rtp/239.10.0.218:1025
IPTV5+,http://120.234.187.66:10086/rtp/239.20.0.237:2272
IPTV5+体育,http://120.234.187.66:10086/rtp/239.20.0.208:2214
IPTV收视指南,http://120.234.187.66:10086/rtp/239.20.0.240:2278
IPTV法治,http://120.234.187.66:10086/rtp/239.20.0.231:2260
IPTV相声小品,http://120.234.187.66:10086/rtp/239.20.0.229:2256
IPTV野外,http://120.234.187.66:10086/rtp/239.20.0.230:2258
北京卡酷少儿,http://120.234.187.66:10086/rtp/239.20.0.162:2122
山西书画频道,http://120.234.187.66:10086/rtp/239.21.0.140:3904
山西书画频道,http://120.234.187.66:10086/rtp/239.11.0.174:1025
上海哈哈炫动,http://120.234.187.66:10086/rtp/239.20.0.164:2126
上海纪实人文,http://120.234.187.66:10086/rtp/239.10.0.78:1025
上海纪实人文,http://120.234.187.66:10086/rtp/239.20.0.57:3172
江苏财富天下,http://120.234.187.66:10086/rtp/239.20.0.167:2132
杭州求索纪录,http://120.234.187.66:10086/rtp/239.21.0.118:3816
湖北快乐垂钓,http://120.234.187.66:10086/rtp/239.11.0.131:1025
湖南茶频道,http://120.234.187.66:10086/rtp/239.21.0.120:3824
湖南茶频道,http://120.234.187.66:10086/rtp/239.11.0.130:1025
湖南金鹰纪实,http://120.234.187.66:10086/rtp/239.20.0.196:2190
湖南金鹰纪实,http://120.234.187.66:10086/rtp/239.10.0.206:1025
湖南金鹰纪实,http://120.234.187.66:10086/rtp/239.20.0.85:3060
湖南金鹰卡通,http://120.234.187.66:10086/rtp/239.20.0.163:2124
湖南金鹰卡通,http://120.234.187.66:10086/rtp/239.11.0.125:1025
湖南金鹰卡通,http://120.234.187.66:10086/rtp/239.21.0.115:3804
广东岭南戏曲,http://120.234.187.66:10086/rtp/239.20.0.115:2028
广东岭南戏曲,http://120.234.187.66:10086/rtp/239.21.0.147:3932
广东岭南戏曲,http://120.234.187.66:10086/rtp/239.11.0.180:1025
广东岭南戏曲,http://120.234.187.66:10086/rtp/239.10.0.125:1025
重庆汽摩,http://120.234.187.66:10086/rtp/239.20.0.222:2242
重庆汽摩,http://120.234.187.66:10086/rtp/239.10.0.232:1025
陕西国学频道,http://120.234.187.66:10086/rtp/239.20.0.247:2292
陕西国学频道,http://120.234.187.66:10086/rtp/239.10.0.38:1025
广东南方购物,http://120.234.187.66:10086/rtp/239.20.0.116:2030

辽宁卫视超清,http://120.234.187.66:10086/rtp/239.20.0.86:3056
江苏卫视超清,http://120.234.187.66:10086/rtp/239.20.0.93:3028
浙江卫视超清,http://120.234.187.66:10086/rtp/239.20.0.94:3024
山东卫视超清,http://120.234.187.66:10086/rtp/239.20.0.88:3048
山东教育,http://120.234.187.66:10086/rtp/239.20.0.166:2130
湖南卫视超清,http://120.234.187.66:10086/rtp/239.20.0.95:3020
广州云课堂,http://120.234.187.66:10086/udp/239.11.0.150:1025
广州云课堂,http://120.234.187.66:10086/udp/239.11.0.151:1025
广州云课堂,http://120.234.187.66:10086/udp/239.11.0.152:1025
广州云课堂,http://120.234.187.66:10086/udp/239.11.0.153:1025
广州云课堂,http://120.234.187.66:10086/udp/239.11.0.154:1025
广州云课堂,http://120.234.187.66:10086/udp/239.11.0.155:1025
广州云课堂,http://120.234.187.66:10086/udp/239.11.0.156:1025
广州云课堂,http://120.234.187.66:10086/udp/239.11.0.157:1025
广州云课堂,http://120.234.187.66:10086/udp/239.11.0.158:1025
广州云课堂,http://120.234.187.66:10086/udp/239.11.0.159:1025
广州云课堂,http://120.234.187.66:10086/udp/239.11.0.160:1025
广州影视,http://120.234.187.66:10086/rtp/239.11.0.140:1025
广州竞赛,http://120.234.187.66:10086/rtp/239.11.0.142:1025
广州综合,http://120.234.187.66:10086/rtp/239.11.0.138:1025
汕头综合,http://120.234.187.66:10086/rtp/239.21.0.101:3744
惠州公共频道,http://120.234.187.66:10086/rtp/239.21.0.28:3452
惠州综合频道,http://120.234.187.66:10086/rtp/239.21.0.27:3448
汕尾文化生活,http://120.234.187.66:10086/rtp/239.21.0.90:3700
汕尾新闻综合,http://120.234.187.66:10086/rtp/239.21.0.89:3696
河源生活频道,http://120.234.187.66:10086/rtp/239.21.0.49:3536
河源综合频道,http://120.234.187.66:10086/rtp/239.21.0.48:3532
揭阳生活频道,http://120.234.187.66:10086/rtp/239.21.0.92:3708
揭阳综合频道,http://120.234.187.66:10086/rtp/239.21.0.91:3704
四川卫视超清,http://120.234.187.66:10086/rtp/239.20.0.82:3072

CBN幸福剧场,http://120.234.187.66:10086/udp/239.21.0.127:3852
CBN幸福剧场,http://120.234.187.66:10086/udp/239.11.0.165:1025
CBN幸福娱乐,http://120.234.187.66:10086/udp/239.21.0.128:3856
CBN幸福娱乐,http://120.234.187.66:10086/udp/239.11.0.166:1025
CBN每日影院,http://120.234.187.66:10086/udp/239.21.0.125:3844
CBN每日影院,http://120.234.187.66:10086/udp/239.11.0.163:1025
CBN风尚生活,http://120.234.187.66:10086/udp/239.21.0.126:3848
