吉林联通-组播1,#genre#
重庆卫视,http://wanda01.e7q.com:18090/rtp/239.253.142.130:3000
东南卫视,http://wanda01.e7q.com:18090/rtp/239.253.142.121:3000
河北卫视,http://wanda01.e7q.com:18090/rtp/239.253.142.126:3000
河南卫视,http://wanda01.e7q.com:18090/rtp/239.253.142.127:3000
湖北卫视,http://wanda01.e7q.com:18090/rtp/239.253.142.168:3000
陕西卫视,http://wanda01.e7q.com:18090/rtp/239.253.142.34:3000
陕西卫视,http://wanda01.e7q.com:18090/rtp/239.253.142.41:3000
四川卫视,http://wanda01.e7q.com:18090/rtp/239.253.142.123:3000
海南卫视,http://wanda01.e7q.com:18090/rtp/239.253.142.31:3000
甘肃卫视,http://wanda01.e7q.com:18090/rtp/239.253.142.179:3000
广西卫视,http://wanda01.e7q.com:18090/rtp/239.253.142.106:3000
贵州卫视,http://wanda01.e7q.com:18090/rtp/239.253.142.129:3000
黑龙江卫视,http://wanda01.e7q.com:18090/rtp/239.253.142.165:3000
江西卫视,http://wanda01.e7q.com:18090/rtp/239.253.142.128:3000
内蒙古卫视,http://wanda01.e7q.com:18090/rtp/239.253.142.32:3000
宁夏卫视,http://wanda01.e7q.com:18090/rtp/239.253.142.63:3000
山西卫视,http://wanda01.e7q.com:18090/rtp/239.253.142.50:3000
新疆卫视,http://wanda01.e7q.com:18090/rtp/239.253.142.35:3000
云南卫视,http://wanda01.e7q.com:18090/rtp/239.253.142.86:3000
青海卫视,http://wanda01.e7q.com:18090/rtp/239.253.142.29:3000
西藏卫视,http://wanda01.e7q.com:18090/rtp/239.253.142.51:3000
兵团卫视,http://wanda01.e7q.com:18090/rtp/239.253.142.57:3000
三沙卫视,http://wanda01.e7q.com:18090/rtp/239.253.142.198:3000
延边卫视,http://wanda01.e7q.com:18090/rtp/239.253.142.101:3000
北京卡酷少儿,http://wanda01.e7q.com:18090/rtp/239.253.142.59:3000
湖南快乐垂钓,http://wanda01.e7q.com:18090/rtp/239.253.142.234:3000
湖南茶频道,http://wanda01.e7q.com:18090/rtp/239.253.142.235:3000
湖南金鹰纪实,http://wanda01.e7q.com:18090/rtp/239.253.142.133:3000
湖南金鹰卡通,http://wanda01.e7q.com:18090/rtp/239.253.142.250:3000
河南梨园频道,http://wanda01.e7q.com:18090/rtp/239.253.142.43:3000
河南武术世界,http://wanda01.e7q.com:18090/rtp/239.253.142.48:3000
河南文物宝库,http://wanda01.e7q.com:18090/rtp/239.253.142.60:3000
山西书画频道,http://wanda01.e7q.com:18090/rtp/239.253.142.199:3000
陕西国学频道,http://wanda01.e7q.com:18090/rtp/239.253.142.90:3000
上海法治天地,http://wanda01.e7q.com:18090/rtp/239.253.142.210:3000
上海生活时尚,http://wanda01.e7q.com:18090/rtp/239.253.142.230:3000
上海都市剧场,http://wanda01.e7q.com:18090/rtp/239.253.142.231:3000
上海游戏风云,http://wanda01.e7q.com:18090/rtp/239.253.142.233:3000
上海动漫秀场,http://wanda01.e7q.com:18090/rtp/239.253.142.232:3000
上海乐游,http://wanda01.e7q.com:18090/rtp/239.253.142.208:3000
上海金色学堂,http://wanda01.e7q.com:18090/rtp/239.253.142.229:3000
上海哈哈炫动,http://wanda01.e7q.com:18090/rtp/239.253.142.62:3000
广东嘉佳卡通,http://wanda01.e7q.com:18090/rtp/239.253.142.64:3000
中国交通,http://wanda01.e7q.com:18090/rtp/239.253.142.187:3000
环球奇观,http://wanda01.e7q.com:18090/rtp/239.253.142.67:3000
好享购物,http://wanda01.e7q.com:18090/rtp/239.253.142.113:3000
央广购物,http://wanda01.e7q.com:18090/rtp/239.253.142.56:3000
优购物,http://wanda01.e7q.com:18090/rtp/239.253.142.16:3000
家有购物,http://wanda01.e7q.com:18090/rtp/239.253.142.85:3000

北京纪实,http://wanda01.e7q.com:18090/rtp/239.253.142.37:3000
长春市民,http://wanda01.e7q.com:18090/rtp/239.253.142.95:3000
长春文旅,http://wanda01.e7q.com:18090/rtp/239.253.142.94:3000
长春综合,http://wanda01.e7q.com:18090/rtp/239.253.142.93:3000
四平1台,http://wanda01.e7q.com:18090/rtp/239.253.142.216:3000
四平2台,http://wanda01.e7q.com:18090/rtp/239.253.142.217:3000
通化1台,http://wanda01.e7q.com:18090/rtp/239.253.142.218:3000
通化2台,http://wanda01.e7q.com:18090/rtp/239.253.142.219:3000
通化3台,http://wanda01.e7q.com:18090/rtp/239.253.142.220:3000
白山生活,http://wanda01.e7q.com:18090/rtp/239.253.142.228:3000
白山综合,http://wanda01.e7q.com:18090/rtp/239.253.142.227:3000
松原生活,http://wanda01.e7q.com:18090/rtp/239.253.142.226:3000
松原综合,http://wanda01.e7q.com:18090/rtp/239.253.142.225:3000
白城公共,http://wanda01.e7q.com:18090/rtp/239.253.142.222:3000
白城新闻,http://wanda01.e7q.com:18090/rtp/239.253.142.223:3000
白城民生,http://wanda01.e7q.com:18090/rtp/239.253.142.224:3000
白城综合,http://wanda01.e7q.com:18090/rtp/239.253.142.221:3000
延边1台,http://wanda01.e7q.com:18090/rtp/239.253.142.214:3000
延边2台,http://wanda01.e7q.com:18090/rtp/239.253.142.215:3000

CGTN纪录,http://wanda01.e7q.com:18090/rtp/239.253.142.242:3000
东丰,http://wanda01.e7q.com:18090/rtp/239.253.142.150:3000
东辽,http://wanda01.e7q.com:18090/rtp/239.253.142.149:3000
临江,http://wanda01.e7q.com:18090/rtp/239.253.142.157:3000
乾安,http://wanda01.e7q.com:18090/rtp/239.253.142.152:3000
伊通,http://wanda01.e7q.com:18090/rtp/239.253.142.142:3000
公主岭,http://wanda01.e7q.com:18090/rtp/239.253.142.141:3000
农安,http://wanda01.e7q.com:18090/rtp/239.253.142.107:3000
前郭,http://wanda01.e7q.com:18090/rtp/239.253.142.109:3000
双辽,http://wanda01.e7q.com:18090/rtp/239.253.142.140:3000
双阳,http://wanda01.e7q.com:18090/rtp/239.253.142.207:3000
图们,http://wanda01.e7q.com:18090/rtp/239.253.142.137:3000
大安,http://wanda01.e7q.com:18090/rtp/239.253.142.148:3000
延吉,http://wanda01.e7q.com:18090/rtp/239.253.142.138:3000
扶余,http://wanda01.e7q.com:18090/rtp/239.253.142.151:3000
抚松,http://wanda01.e7q.com:18090/rtp/239.253.142.158:3000
敦化,http://wanda01.e7q.com:18090/rtp/239.253.142.89:3000
新动漫,http://wanda01.e7q.com:18090/rtp/239.253.142.238:3000
晴彩广场舞,http://wanda01.e7q.com:18090/rtp/239.253.142.184:3000
晴彩竞技,http://wanda01.e7q.com:18090/rtp/239.253.142.181:3000
晴彩篮球,http://wanda01.e7q.com:18090/rtp/239.253.142.182:3000
晴彩青少,http://wanda01.e7q.com:18090/rtp/239.253.142.183:3000
柳河,http://wanda01.e7q.com:18090/rtp/239.253.142.143:3000
桦甸,http://wanda01.e7q.com:18090/rtp/239.253.142.8:3000
梅河口,http://wanda01.e7q.com:18090/rtp/239.253.142.144:3000
梨树,http://wanda01.e7q.com:18090/rtp/239.253.142.139:3000
汪清,http://wanda01.e7q.com:18090/rtp/239.253.142.136:3000
汽摩,http://wanda01.e7q.com:18090/rtp/239.253.142.87:3000
洮南,http://wanda01.e7q.com:18090/rtp/239.253.142.156:3000
环球影视,http://wanda01.e7q.com:18090/rtp/239.253.142.237:3000
磐石,http://wanda01.e7q.com:18090/rtp/239.253.142.135:3000
聚鲨环球,http://wanda01.e7q.com:18090/rtp/239.253.142.73:3000
聚鲨环球,http://wanda01.e7q.com:18090/rtp/239.253.142.103:3000
舒兰,http://wanda01.e7q.com:18090/rtp/239.253.142.155:3000
蛟河,http://wanda01.e7q.com:18090/rtp/239.253.142.236:3000
辉南,http://wanda01.e7q.com:18090/rtp/239.253.142.145:3000
通榆,http://wanda01.e7q.com:18090/rtp/239.253.142.147:3000
镇赉,http://wanda01.e7q.com:18090/rtp/239.253.142.146:3000
长影频道,http://wanda01.e7q.com:18090/rtp/239.253.142.105:3000
集安,http://wanda01.e7q.com:18090/rtp/239.253.142.108:3000
