四川移动-组播1,#genre#
天府魔力荟萃,http://183.220.107.138:4022/rtp/239.10.0.140:5140
奇趣动漫,http://183.220.107.138:4022/rtp/239.10.0.216:5140
宏伟巨献,http://183.220.107.138:4022/rtp/239.10.0.208:5140
峥嵘岁月,http://183.220.107.138:4022/rtp/239.10.0.205:5140
快乐假期,http://183.220.107.138:4022/rtp/239.10.0.215:5140
情感热播,http://183.220.107.138:4022/rtp/239.10.0.202:5140
我看剧场,http://183.220.107.138:4022/rtp/239.10.0.204:5140
星空,http://183.220.107.138:4022/udp/239.11.0.156:5140
欢乐启蒙,http://183.220.107.138:4022/rtp/239.10.0.217:5140
玩具乐园,http://183.220.107.138:4022/rtp/239.10.0.218:5140
电竞世界,http://183.220.107.138:4022/rtp/239.10.0.167:5140
稻城电视台,http://183.220.107.138:4022/rtp/239.10.0.29:5140
童童乐园,http://183.220.107.138:4022/rtp/239.10.0.210:5140
精彩成都,http://183.220.107.138:4022/rtp/239.10.0.223:5140
红色经典,http://183.220.107.138:4022/rtp/239.10.0.201:5140
超级体育,http://183.220.107.138:4022/rtp/239.10.0.168:5140
超级体育2,http://183.220.107.138:4022/rtp/239.11.0.232:5140
趣乐探险,http://183.220.107.138:4022/rtp/239.10.0.219:5140
酷乐卡通,http://183.220.107.138:4022/rtp/239.10.0.214:5140
铁路电视,http://183.220.107.138:4022/rtp/239.11.0.191:5140
阳光日记,http://183.220.107.138:4022/rtp/239.10.0.209:5140
青春在线,http://183.220.107.138:4022/rtp/239.10.0.206:5140
黑莓电影,http://183.220.107.138:4022/rtp/239.11.0.148:5140

四川移动-组播2,#genre#
四川卫视,http://183.222.15.202:4321/rtp/239.11.0.78:5140
四川卫视4K,http://183.222.15.202:4321/rtp/239.11.0.43:5140
四川卫视4K,http://183.222.15.202:4321/rtp/239.11.0.86:5140

四川峨眉电影,http://183.222.15.202:4321/rtp/239.11.0.11:5140
四川影视文艺,http://183.222.15.202:4321/rtp/239.11.0.77:5140
四川科教频道,http://183.222.15.202:4321/rtp/239.11.0.194:5140

CCTV-1综合,http://183.222.15.202:4321/rtp/239.11.0.65:5140
CCTV-2财经,http://183.222.15.202:4321/rtp/239.11.0.108:5140
CCTV-3综艺,http://183.222.15.202:4321/rtp/239.11.0.101:5140
CCTV-4中文国际,http://183.222.15.202:4321/rtp/239.11.0.109:5140
CCTV-5体育,http://183.222.15.202:4321/rtp/239.11.0.100:5140
CCTV-5+体育赛事,http://183.222.15.202:4321/rtp/239.11.0.241:5140
