江苏电信-组播1,#genre#
南京影视,http://y1nf0x.myds.me:5888/udp/239.49.0.24:8000
南京文旅纪录,http://y1nf0x.myds.me:5888/udp/239.49.0.38:8000
南京新闻综合,http://y1nf0x.myds.me:5888/udp/239.49.0.25:8192
南京生活频道,http://y1nf0x.myds.me:5888/udp/239.49.0.26:8200
南京科教频道,http://y1nf0x.myds.me:5888/udp/239.49.0.183:9434
南京高淳新闻,http://y1nf0x.myds.me:5888/udp/239.49.0.74:8000
无锡新闻综合,http://y1nf0x.myds.me:5888/udp/239.49.1.77:8000
无锡都市资讯,http://y1nf0x.myds.me:5888/udp/239.49.1.78:8000
徐州1,http://y1nf0x.myds.me:5888/udp/239.49.0.203:8000
徐州2,http://y1nf0x.myds.me:5888/udp/239.49.0.199:8000
徐州3,http://y1nf0x.myds.me:5888/udp/239.49.0.211:8000
徐州新沂1,http://y1nf0x.myds.me:5888/udp/239.49.0.238:8000
徐州沛县新闻综合,http://y1nf0x.myds.me:5888/udp/239.49.0.214:8000
徐州睢宁综合,http://y1nf0x.myds.me:5888/udp/239.49.0.239:8000
徐州贾汪新闻,http://y1nf0x.myds.me:5888/udp/239.49.0.248:8000
徐州邳州综合,http://y1nf0x.myds.me:5888/udp/239.49.0.182:8000
徐州铜山1,http://y1nf0x.myds.me:5888/udp/239.49.0.163:8000
新沂生活,http://y1nf0x.myds.me:5888/udp/239.49.0.124:8000
常州公共,http://y1nf0x.myds.me:5888/udp/239.49.0.218:9582
常州新闻综合,http://y1nf0x.myds.me:5888/udp/239.49.1.83:8000
常州生活,http://y1nf0x.myds.me:5888/udp/239.49.1.85:8000
常州生活,http://y1nf0x.myds.me:5888/udp/239.49.0.219:9586
常州综合,http://y1nf0x.myds.me:5888/udp/239.49.0.221:9594
常州都市,http://y1nf0x.myds.me:5888/udp/239.49.1.84:8000
常州都市,http://y1nf0x.myds.me:5888/udp/239.49.0.220:9590
常州金坛电视台,http://y1nf0x.myds.me:5888/udp/239.49.1.54:8000
苏州生活资讯5,http://y1nf0x.myds.me:5888/udp/239.49.8.116:8000
南通公共,http://y1nf0x.myds.me:5888/udp/239.49.0.197:8000
南通新闻综合,http://y1nf0x.myds.me:5888/udp/239.49.0.223:8000
南通社教,http://y1nf0x.myds.me:5888/udp/239.49.0.224:8000
连云港东海综合,http://y1nf0x.myds.me:5888/udp/239.49.0.121:8000
连云港新闻综合,http://y1nf0x.myds.me:5888/udp/239.49.0.225:8000
连云港生活频道,http://y1nf0x.myds.me:5888/udp/239.49.0.229:8000
连云港赣榆电视台,http://y1nf0x.myds.me:5888/udp/239.49.0.241:8000
淮安公共,http://y1nf0x.myds.me:5888/udp/239.49.0.181:8000
淮安影视娱乐,http://y1nf0x.myds.me:5888/udp/239.49.0.192:8000
淮安新闻综合,http://y1nf0x.myds.me:5888/udp/239.49.0.204:8000
淮安洪泽1,http://y1nf0x.myds.me:5888/udp/239.49.0.89:8000
淮安淮阴综合,http://y1nf0x.myds.me:5888/udp/239.49.0.169:8000
淮安盱眙综合,http://y1nf0x.myds.me:5888/udp/239.49.0.237:8000
盐城1,http://y1nf0x.myds.me:5888/udp/239.49.8.30:8000
盐城2,http://y1nf0x.myds.me:5888/udp/239.49.0.88:8000
盐城响水综合,http://y1nf0x.myds.me:5888/udp/239.49.0.115:8912
镇江新闻综合,http://y1nf0x.myds.me:5888/udp/239.49.0.98:8000
镇江民生教育,http://y1nf0x.myds.me:5888/udp/239.49.1.73:8000
泰州1,http://y1nf0x.myds.me:5888/udp/239.49.0.215:8000
泰州2,http://y1nf0x.myds.me:5888/udp/239.49.0.217:8000
泰州3,http://y1nf0x.myds.me:5888/udp/239.49.0.222:8000
泰州兴化新闻综合,http://y1nf0x.myds.me:5888/udp/239.49.0.162:8000
泰州泰兴综合,http://y1nf0x.myds.me:5888/udp/239.49.0.168:8000
宿迁公共,http://y1nf0x.myds.me:5888/udp/239.49.0.236:8000
宿迁宿豫综合,http://y1nf0x.myds.me:5888/udp/239.49.0.83:8000
宿迁沭阳综合,http://y1nf0x.myds.me:5888/udp/239.49.0.189:8792
宿迁泗洪综合,http://y1nf0x.myds.me:5888/udp/239.49.0.195:8000
宿迁综合,http://y1nf0x.myds.me:5888/udp/239.49.0.231:8000
泗阳综合,http://y1nf0x.myds.me:5888/udp/239.49.0.249:8000

CCTV16_4k(SDR),http://y1nf0x.myds.me:5888/udp/239.49.0.109:8000
苏超1,http://y1nf0x.myds.me:5888/udp/239.49.8.96:8000
苏超2,http://y1nf0x.myds.me:5888/udp/239.49.8.97:8000
苏超3,http://y1nf0x.myds.me:5888/udp/239.49.8.98:8000
苏超4,http://y1nf0x.myds.me:5888/udp/239.49.8.99:8000
苏超5,http://y1nf0x.myds.me:5888/udp/239.49.8.100:8000
苏超6,http://y1nf0x.myds.me:5888/udp/239.49.8.101:8000

江苏电信-组播2,#genre#
江苏卫视,http://114.226.212.138:8787/udp/239.49.8.16:9602
江苏卫视,http://114.226.212.138:8787/udp/239.49.8.138:6000
江苏卫视4K,http://114.226.212.138:8787/udp/239.49.1.62:8000
江苏卫视4K,http://114.226.212.138:8787/udp/239.49.1.61:8000

江苏体育,http://114.226.212.138:8787/udp/239.49.8.117:8000
江苏国际,http://114.226.212.138:8787/udp/239.49.1.81:8000
江苏城市,http://114.226.212.138:8787/udp/239.49.8.107:8000
江苏影视,http://114.226.212.138:8787/udp/239.49.8.118:8000
江苏教育,http://114.226.212.138:8787/udp/239.49.8.122:8000
江苏新闻,http://114.226.212.138:8787/udp/239.49.8.120:8000
江苏综艺,http://114.226.212.138:8787/udp/239.49.8.108:8000

CCTV-1综合,http://114.226.212.138:8787/udp/239.49.0.207:8000
CCTV-1综合,http://114.226.212.138:8787/udp/239.49.8.19:9614
CCTV-1综合,http://114.226.212.138:8787/udp/239.49.8.129:6000
CCTV-2财经,http://114.226.212.138:8787/udp/239.49.8.50:9802
CCTV-2财经,http://114.226.212.138:8787/udp/239.49.8.130:6000
CCTV-3综艺,http://114.226.212.138:8787/udp/239.49.8.74:8000
CCTV-4中文国际,http://114.226.212.138:8787/udp/239.49.8.51:9806
CCTV-4中文国际,http://114.226.212.138:8787/udp/239.49.8.131:6000
CCTV-5体育,http://114.226.212.138:8787/udp/239.49.0.206:8000
CCTV-5体育,http://114.226.212.138:8787/udp/239.49.8.75:8000
CCTV-5+体育赛事,http://114.226.212.138:8787/udp/239.49.8.18:9610
CCTV-6电影,http://114.226.212.138:8787/udp/239.49.8.76:8000
CCTV-7国防军事,http://114.226.212.138:8787/udp/239.49.0.126:8000
CCTV-8电视剧,http://114.226.212.138:8787/udp/239.49.8.77:8000
CCTV-9纪录,http://114.226.212.138:8787/udp/239.49.8.53:9814
CCTV-10科教,http://114.226.212.138:8787/udp/239.49.8.54:9818
CCTV-10科教,http://114.226.212.138:8787/udp/239.49.8.134:6000
CCTV-11戏曲,http://114.226.212.138:8787/udp/239.49.0.127:8000
CCTV-12社会与法,http://114.226.212.138:8787/udp/239.49.8.55:9822
CCTV-12社会与法,http://114.226.212.138:8787/udp/239.49.8.135:6000
CCTV-13新闻,http://114.226.212.138:8787/udp/239.49.0.196:8000
CCTV-13新闻,http://114.226.212.138:8787/udp/239.49.8.109:8000
CCTV-14少儿,http://114.226.212.138:8787/udp/239.49.8.56:9826
CCTV-14少儿,http://114.226.212.138:8787/udp/239.49.8.136:6000
CCTV-15音乐,http://114.226.212.138:8787/udp/239.49.0.128:8000
CCTV-16奥林匹克,http://114.226.212.138:8787/udp/239.49.8.31:8000
CCTV-17农业农村,http://114.226.212.138:8787/udp/239.49.8.52:9810
CCTV-17农业农村,http://114.226.212.138:8787/udp/239.49.8.132:6000
CCTV4K超高清,http://114.226.212.138:8787/udp/239.49.0.82:8000
