北京联通-组播1,#genre#
CCTV-3综艺,http://n2.192372.xyz:8888/rtp/239.3.1.172:8001
CCTV-4中文国际,http://n2.192372.xyz:8888/rtp/239.3.1.105:8092
CCTV-4中文国际欧洲,http://n2.192372.xyz:8888/rtp/239.3.1.213:4220
CCTV-4中文国际美洲,http://n2.192372.xyz:8888/rtp/239.3.1.214:4220
CCTV-5体育,http://n2.192372.xyz:8888/rtp/239.3.1.173:8001
CCTV-5+体育赛事,http://n2.192372.xyz:8888/rtp/239.3.1.130:8004
CCTV-6电影,http://n2.192372.xyz:8888/rtp/239.3.1.174:8001
CCTV-7国防军事,http://n2.192372.xyz:8888/rtp/239.3.1.61:8104
CCTV-8电视剧,http://n2.192372.xyz:8888/rtp/239.3.1.175:8001
CCTV-9纪录,http://n2.192372.xyz:8888/rtp/239.3.1.62:8112
CCTV-10科教,http://n2.192372.xyz:8888/rtp/239.3.1.63:8116
CCTV-11戏曲,http://n2.192372.xyz:8888/rtp/239.3.1.152:8120
CCTV-12社会与法,http://n2.192372.xyz:8888/rtp/239.3.1.64:8124
CCTV-13新闻,http://n2.192372.xyz:8888/rtp/239.3.1.124:8128
CCTV-14少儿,http://n2.192372.xyz:8888/rtp/239.3.1.65:8132
CCTV-15音乐,http://n2.192372.xyz:8888/rtp/239.3.1.153:8136
CCTV-16奥林匹克,http://n2.192372.xyz:8888/rtp/239.3.1.184:8001
CCTV-17农业农村,http://n2.192372.xyz:8888/rtp/239.3.1.151:8144
CCTV4K超高清,http://n2.192372.xyz:8888/rtp/239.3.1.244:2000
CCTV4K超高清,http://n2.192372.xyz:8888/udp/239.3.1.245:2000
CCTV16超高清,http://n2.192372.xyz:8888/udp/239.3.1.183:8001
湖南卫视,http://n2.192372.xyz:8888/rtp/239.3.1.132:8012
浙江卫视,http://n2.192372.xyz:8888/rtp/239.3.1.137:8036
江苏卫视,http://n2.192372.xyz:8888/rtp/239.3.1.135:8028
东方卫视,http://n2.192372.xyz:8888/rtp/239.3.1.136:8032
安徽卫视,http://n2.192372.xyz:8888/rtp/239.3.1.211:8064
广东卫视,http://n2.192372.xyz:8888/rtp/239.3.1.142:8048
深圳卫视,http://n2.192372.xyz:8888/rtp/239.3.1.134:8020
辽宁卫视,http://n2.192372.xyz:8888/rtp/239.3.1.210:8056
山东卫视,http://n2.192372.xyz:8888/rtp/239.3.1.209:8052
山东教育卫视,http://n2.192372.xyz:8888/rtp/239.3.1.52:4120
天津卫视,http://n2.192372.xyz:8888/rtp/239.3.1.141:1234
重庆卫视,http://n2.192372.xyz:8888/rtp/239.3.1.122:8160
东南卫视,http://n2.192372.xyz:8888/rtp/239.3.1.156:8148
河北卫视,http://n2.192372.xyz:8888/rtp/239.3.1.148:8072
河南卫视,http://n2.192372.xyz:8888/rtp/239.3.1.27:8128
河南卫视,http://n2.192372.xyz:8888/rtp/239.3.1.50:8184
湖北卫视,http://n2.192372.xyz:8888/rtp/239.3.1.138:8044
陕西卫视,http://n2.192372.xyz:8888/rtp/239.3.1.41:8140
四川卫视,http://n2.192372.xyz:8888/rtp/239.3.1.29:8288
海南卫视,http://n2.192372.xyz:8888/rtp/239.3.1.45:8304
甘肃卫视,http://n2.192372.xyz:8888/rtp/239.3.1.49:8188
甘肃卫视,http://n2.192372.xyz:8888/rtp/239.3.1.201:8180
广西卫视,http://n2.192372.xyz:8888/rtp/239.3.1.39:8300
贵州卫视,http://n2.192372.xyz:8888/rtp/239.3.1.149:8076
黑龙江卫视,http://n2.192372.xyz:8888/rtp/239.3.1.133:8016
江西卫视,http://n2.192372.xyz:8888/rtp/239.3.1.123:8164
吉林卫视,http://n2.192372.xyz:8888/rtp/239.3.1.240:8172
内蒙古卫视,http://n2.192372.xyz:8888/rtp/239.3.1.43:8176
宁夏卫视,http://n2.192372.xyz:8888/rtp/239.3.1.46:8124
宁夏卫视,http://n2.192372.xyz:8888/rtp/239.3.1.169:8212
山西卫视,http://n2.192372.xyz:8888/rtp/239.3.1.42:8172
新疆卫视,http://n2.192372.xyz:8888/rtp/239.3.1.48:8160
新疆卫视,http://n2.192372.xyz:8888/rtp/239.3.1.167:8192
云南卫视,http://n2.192372.xyz:8888/rtp/239.3.1.26:8108
青海卫视,http://n2.192372.xyz:8888/rtp/239.3.1.44:8184
西藏卫视,http://n2.192372.xyz:8888/rtp/239.3.1.47:8164
西藏卫视,http://n2.192372.xyz:8888/rtp/239.3.1.166:8188
兵团卫视,http://n2.192372.xyz:8888/rtp/239.3.1.144:4120
兵团卫视,http://n2.192372.xyz:8888/rtp/239.3.1.168:8196
三沙卫视,http://n2.192372.xyz:8888/rtp/239.3.1.155:4120
厦门卫视,http://n2.192372.xyz:8888/rtp/239.3.1.143:4120
湖南卫视4K,http://n2.192372.xyz:8888/rtp/239.3.1.112:3002
浙江卫视4K,http://n2.192372.xyz:8888/rtp/239.3.1.114:3004
江苏卫视4K,http://n2.192372.xyz:8888/rtp/239.3.1.113:3003
东方卫视4K,http://n2.192372.xyz:8888/rtp/239.3.1.119:3006
广东卫视4K,http://n2.192372.xyz:8888/rtp/239.3.1.203:2000
深圳卫视4K,http://n2.192372.xyz:8888/rtp/239.3.1.202:2000
山东卫视4K,http://n2.192372.xyz:8888/rtp/239.3.1.144:3005
四川卫视4K,http://n2.192372.xyz:8888/rtp/239.3.1.131:3001
CCTV-高尔夫·网球,http://n2.192372.xyz:8888/rtp/239.3.1.88:4120
CGTN英语,http://n2.192372.xyz:8888/rtp/239.3.1.215:4220
CGTN法语,http://n2.192372.xyz:8888/rtp/239.3.1.218:4220
CGTN俄语,http://n2.192372.xyz:8888/rtp/239.3.1.220:4220
CETV-1综合教育,http://n2.192372.xyz:8888/rtp/239.3.1.57:8152
CETV-2空中课堂,http://n2.192372.xyz:8888/rtp/239.3.1.54:4120
CETV-3北京科教,http://n2.192372.xyz:8888/rtp/239.3.1.55:4120
CETV-4职业教育,http://n2.192372.xyz:8888/rtp/239.3.1.56:4120
中国交通,http://n2.192372.xyz:8888/rtp/239.3.1.188:8001
体育赛事,http://n2.192372.xyz:8888/rtp/239.3.1.157:8176
睛彩竞技,http://n2.192372.xyz:8888/rtp/239.3.1.125:8001
睛彩广场舞,http://n2.192372.xyz:8888/rtp/239.3.1.128:8001
睛彩篮球,http://n2.192372.xyz:8888/rtp/239.3.1.126:8001
华数爱上4K电影,http://n2.192372.xyz:8888/rtp/239.3.1.236:2000
华数经典电影,http://n2.192372.xyz:8888/rtp/239.3.1.195:9024
华数动作影院,http://n2.192372.xyz:8888/rtp/239.3.1.92:4120
华数喜剧影院,http://n2.192372.xyz:8888/rtp/239.3.1.91:4120
华数家庭影院,http://n2.192372.xyz:8888/rtp/239.3.1.93:4120
华数星影,http://n2.192372.xyz:8888/rtp/239.3.1.94:4120
华数热播剧场,http://n2.192372.xyz:8888/rtp/239.3.1.194:9020
华数古装剧场,http://n2.192372.xyz:8888/rtp/239.3.1.69:4120
华数城市剧场,http://n2.192372.xyz:8888/rtp/239.3.1.67:4120
华数军旅剧场,http://n2.192372.xyz:8888/rtp/239.3.1.68:4120
华数魅力时尚,http://n2.192372.xyz:8888/rtp/239.3.1.196:9012
华数少儿动画,http://n2.192372.xyz:8888/rtp/239.3.1.199:9000
华数动画,http://n2.192372.xyz:8888/rtp/239.3.1.80:4120
华数精选,http://n2.192372.xyz:8888/rtp/239.3.1.74:4120
华数武侠剧场,http://n2.192372.xyz:8888/rtp/239.3.1.90:4120
IPTV10解密,http://n2.192372.xyz:8888/rtp/239.3.1.75:4120
IPTV11戏曲,http://n2.192372.xyz:8888/rtp/239.3.1.78:4120
IPTV14早教,http://n2.192372.xyz:8888/rtp/239.3.1.79:4120
