# 补充IP列表 - 原文件: 新疆电信.txt
# 生成时间: 2026-05-28 17:16:21
# 格式: C-D,rtp://A.B.C.D:端口

# ===== 网段: 238.125.0.x =====
# 已有IP: 113 个, 缺失IP: 141 个
# 规律: 固定端口 5140

1-164,rtp://238.125.1.164:5140
1-165,rtp://238.125.1.165:5140
1-166,rtp://238.125.1.166:5140
1-167,rtp://238.125.1.167:5140
1-168,rtp://238.125.1.168:5140
1-169,rtp://238.125.1.169:5140
1-170,rtp://238.125.1.170:5140
1-171,rtp://238.125.1.171:5140
1-172,rtp://238.125.1.172:5140
1-173,rtp://238.125.1.173:5140
1-174,rtp://238.125.1.174:5140
1-175,rtp://238.125.1.175:5140
1-176,rtp://238.125.1.176:5140
1-177,rtp://238.125.1.177:5140
1-178,rtp://238.125.1.178:5140
1-179,rtp://238.125.1.179:5140
1-180,rtp://238.125.1.180:5140
1-181,rtp://238.125.1.181:5140
1-182,rtp://238.125.1.182:5140
1-183,rtp://238.125.1.183:5140
1-184,rtp://238.125.1.184:5140
1-185,rtp://238.125.1.185:5140
1-186,rtp://238.125.1.186:5140
1-187,rtp://238.125.1.187:5140
1-188,rtp://238.125.1.188:5140
1-189,rtp://238.125.1.189:5140
1-190,rtp://238.125.1.190:5140
1-191,rtp://238.125.1.191:5140
1-192,rtp://238.125.1.192:5140
1-193,rtp://238.125.1.193:5140
1-194,rtp://238.125.1.194:5140
1-195,rtp://238.125.1.195:5140
1-196,rtp://238.125.1.196:5140
1-197,rtp://238.125.1.197:5140
1-198,rtp://238.125.1.198:5140
1-199,rtp://238.125.1.199:5140
1-200,rtp://238.125.1.200:5140
1-201,rtp://238.125.1.201:5140
1-202,rtp://238.125.1.202:5140
1-203,rtp://238.125.1.203:5140
1-204,rtp://238.125.1.204:5140
1-205,rtp://238.125.1.205:5140
1-206,rtp://238.125.1.206:5140
1-207,rtp://238.125.1.207:5140
1-208,rtp://238.125.1.208:5140
1-209,rtp://238.125.1.209:5140
1-210,rtp://238.125.1.210:5140
1-211,rtp://238.125.1.211:5140
1-212,rtp://238.125.1.212:5140
1-213,rtp://238.125.1.213:5140
1-214,rtp://238.125.1.214:5140
1-215,rtp://238.125.1.215:5140
1-216,rtp://238.125.1.216:5140
1-217,rtp://238.125.1.217:5140
1-218,rtp://238.125.1.218:5140
1-219,rtp://238.125.1.219:5140
1-220,rtp://238.125.1.220:5140
1-221,rtp://238.125.1.221:5140
1-222,rtp://238.125.1.222:5140
1-223,rtp://238.125.1.223:5140
1-224,rtp://238.125.1.224:5140
1-225,rtp://238.125.1.225:5140
1-226,rtp://238.125.1.226:5140
1-227,rtp://238.125.1.227:5140
1-228,rtp://238.125.1.228:5140
1-229,rtp://238.125.1.229:5140
1-230,rtp://238.125.1.230:5140
1-231,rtp://238.125.1.231:5140
1-232,rtp://238.125.1.232:5140
1-233,rtp://238.125.1.233:5140
1-234,rtp://238.125.1.234:5140
1-235,rtp://238.125.1.235:5140
1-236,rtp://238.125.1.236:5140
1-237,rtp://238.125.1.237:5140
1-238,rtp://238.125.1.238:5140
1-239,rtp://238.125.1.239:5140
1-240,rtp://238.125.1.240:5140
1-241,rtp://238.125.1.241:5140
1-242,rtp://238.125.1.242:5140
1-243,rtp://238.125.1.243:5140
1-244,rtp://238.125.1.244:5140
1-245,rtp://238.125.1.245:5140
1-246,rtp://238.125.1.246:5140
1-247,rtp://238.125.1.247:5140
1-248,rtp://238.125.1.248:5140
1-249,rtp://238.125.1.249:5140
1-250,rtp://238.125.1.250:5140
1-251,rtp://238.125.1.251:5140
1-252,rtp://238.125.1.252:5140
1-253,rtp://238.125.1.253:5140
