# 补充IP列表 - 原文件: 湖南移动.txt
# 生成时间: 2026-05-28 17:17:17
# 格式: C-D,rtp://A.B.C.D:端口

# ===== 网段: 239.1.0.x =====
# 已有IP: 124 个, 缺失IP: 130 个
# 规律: 固定端口 1025

1-107,rtp://239.1.1.107:1025
1-108,rtp://239.1.1.108:1025
1-109,rtp://239.1.1.109:1025
1-110,rtp://239.1.1.110:1025
1-111,rtp://239.1.1.111:1025
1-112,rtp://239.1.1.112:1025
1-113,rtp://239.1.1.113:1025
1-114,rtp://239.1.1.114:1025
1-115,rtp://239.1.1.115:1025
1-116,rtp://239.1.1.116:1025
1-117,rtp://239.1.1.117:1025
1-118,rtp://239.1.1.118:1025
1-119,rtp://239.1.1.119:1025
1-120,rtp://239.1.1.120:1025
1-121,rtp://239.1.1.121:1025
1-122,rtp://239.1.1.122:1025
1-123,rtp://239.1.1.123:1025
1-124,rtp://239.1.1.124:1025
1-125,rtp://239.1.1.125:1025
1-126,rtp://239.1.1.126:1025
1-127,rtp://239.1.1.127:1025
1-128,rtp://239.1.1.128:1025
1-129,rtp://239.1.1.129:1025
1-130,rtp://239.1.1.130:1025
1-131,rtp://239.1.1.131:1025
1-132,rtp://239.1.1.132:1025
1-133,rtp://239.1.1.133:1025
1-134,rtp://239.1.1.134:1025
1-135,rtp://239.1.1.135:1025
1-136,rtp://239.1.1.136:1025
1-137,rtp://239.1.1.137:1025
1-138,rtp://239.1.1.138:1025
1-139,rtp://239.1.1.139:1025
1-140,rtp://239.1.1.140:1025
1-141,rtp://239.1.1.141:1025
1-142,rtp://239.1.1.142:1025
1-143,rtp://239.1.1.143:1025
1-144,rtp://239.1.1.144:1025
1-145,rtp://239.1.1.145:1025
1-146,rtp://239.1.1.146:1025
1-147,rtp://239.1.1.147:1025
1-148,rtp://239.1.1.148:1025
1-149,rtp://239.1.1.149:1025
1-150,rtp://239.1.1.150:1025
1-151,rtp://239.1.1.151:1025
1-152,rtp://239.1.1.152:1025
1-153,rtp://239.1.1.153:1025
1-154,rtp://239.1.1.154:1025
1-155,rtp://239.1.1.155:1025
1-156,rtp://239.1.1.156:1025
1-157,rtp://239.1.1.157:1025
1-158,rtp://239.1.1.158:1025
1-159,rtp://239.1.1.159:1025
1-160,rtp://239.1.1.160:1025
1-161,rtp://239.1.1.161:1025
1-162,rtp://239.1.1.162:1025
1-163,rtp://239.1.1.163:1025
1-164,rtp://239.1.1.164:1025
1-165,rtp://239.1.1.165:1025
1-166,rtp://239.1.1.166:1025
1-167,rtp://239.1.1.167:1025
1-168,rtp://239.1.1.168:1025
1-169,rtp://239.1.1.169:1025
1-170,rtp://239.1.1.170:1025
1-171,rtp://239.1.1.171:1025
1-172,rtp://239.1.1.172:1025
1-173,rtp://239.1.1.173:1025
1-174,rtp://239.1.1.174:1025
1-175,rtp://239.1.1.175:1025
1-176,rtp://239.1.1.176:1025
1-177,rtp://239.1.1.177:1025
1-178,rtp://239.1.1.178:1025
1-179,rtp://239.1.1.179:1025
1-180,rtp://239.1.1.180:1025
1-181,rtp://239.1.1.181:1025
1-182,rtp://239.1.1.182:1025
1-183,rtp://239.1.1.183:1025
1-184,rtp://239.1.1.184:1025
1-185,rtp://239.1.1.185:1025
1-186,rtp://239.1.1.186:1025
1-187,rtp://239.1.1.187:1025
1-188,rtp://239.1.1.188:1025
1-189,rtp://239.1.1.189:1025
1-190,rtp://239.1.1.190:1025
1-191,rtp://239.1.1.191:1025
1-192,rtp://239.1.1.192:1025
1-193,rtp://239.1.1.193:1025
1-194,rtp://239.1.1.194:1025
1-195,rtp://239.1.1.195:1025
1-196,rtp://239.1.1.196:1025
1-197,rtp://239.1.1.197:1025
1-198,rtp://239.1.1.198:1025
1-199,rtp://239.1.1.199:1025
1-200,rtp://239.1.1.200:1025
1-201,rtp://239.1.1.201:1025
1-202,rtp://239.1.1.202:1025
1-203,rtp://239.1.1.203:1025
1-204,rtp://239.1.1.204:1025
1-205,rtp://239.1.1.205:1025
1-206,rtp://239.1.1.206:1025
1-207,rtp://239.1.1.207:1025
1-208,rtp://239.1.1.208:1025
1-209,rtp://239.1.1.209:1025
1-210,rtp://239.1.1.210:1025
1-211,rtp://239.1.1.211:1025
1-212,rtp://239.1.1.212:1025
1-213,rtp://239.1.1.213:1025
1-214,rtp://239.1.1.214:1025
1-215,rtp://239.1.1.215:1025
1-216,rtp://239.1.1.216:1025
1-217,rtp://239.1.1.217:1025
1-218,rtp://239.1.1.218:1025
1-219,rtp://239.1.1.219:1025
1-220,rtp://239.1.1.220:1025
1-221,rtp://239.1.1.221:1025
1-222,rtp://239.1.1.222:1025
1-223,rtp://239.1.1.223:1025
1-224,rtp://239.1.1.224:1025
1-225,rtp://239.1.1.225:1025
1-226,rtp://239.1.1.226:1025
