# 2026/05/14 20:35
NEWTV精品体育,rtp://239.11.0.134:5140
NEWTV精品纪录,rtp://239.11.0.132:5140
NewTV中国功夫,rtp://239.11.0.151:5140
NewTV搏击,rtp://239.11.0.146:5140
NewTV明星大片,rtp://239.11.0.147:5140
NewTV海外剧场,rtp://239.11.0.145:5140
NewTV爱情喜剧,rtp://239.11.0.149:5140
NewTV精品大剧,rtp://239.11.0.150:5140
NewTV金牌综艺,rtp://239.11.0.152:5140
UTV优视影院,rtp://239.11.0.172:5140
UTV优视教育,rtp://239.11.0.187:5140
UTV卡通动画,rtp://239.11.0.181:5140
UTV家庭影院,rtp://239.11.0.179:5140
UTV影视精选,rtp://239.11.0.170:5140
UTV文化教育,rtp://239.11.0.183:5140
UTV时尚音乐,rtp://239.11.0.188:5140
UTV炫酷动漫,rtp://239.11.0.186:5140
UTV热播剧场,rtp://239.11.0.171:5140
UTV电影天地,rtp://239.11.0.177:5140
UTV第一剧场,rtp://239.11.0.189:5140
UTV第一电影,rtp://239.11.0.180:5140
UTV纪实天下,rtp://239.11.0.176:5140
UTV经典剧场,rtp://239.11.0.178:5140
UTV经典影视,rtp://239.11.0.173:5140
UTV舞蹈视界,rtp://239.11.0.174:5140
UTV都市剧场,rtp://239.11.0.175:5140
UTV金色童年,rtp://239.11.0.182:5140
UTV钓鱼生活,rtp://239.11.0.185:5140
UTV风云体育,rtp://239.11.0.184:5140
人民铁道,rtp://239.11.0.190:5140
华数光影,rtp://239.10.0.153:5140
华数武侠剧场,rtp://239.10.0.133:5140
华数爱上4K,rtp://239.11.0.120:5140
华数谍战剧场,rtp://239.10.0.123:5140
历史再现,rtp://239.10.0.207:5140
咪咕体育直播1,rtp://239.10.0.232:5140
咪咕体育直播2,rtp://239.10.0.233:5140
咪咕体育直播3,rtp://239.10.0.234:5140
咪咕体育直播4,rtp://239.10.0.235:5140
咪咕体育直播5,rtp://239.10.0.236:5140
咪视界1,rtp://239.10.0.17:5140
咪视界10,rtp://239.10.0.26:5140
咪视界11,rtp://239.10.0.27:5140
咪视界12,rtp://239.10.0.28:5140
咪视界13,rtp://239.10.0.40:5140
咪视界14,rtp://239.10.0.41:5140
咪视界15,rtp://239.10.0.42:5140
咪视界16,rtp://239.10.0.43:5140
咪视界17,rtp://239.10.0.44:5140
咪视界18,rtp://239.10.0.45:5140
咪视界2,rtp://239.10.0.18:5140
咪视界24,rtp://239.10.0.237:5140
咪视界26,rtp://239.10.0.238:5140
咪视界27,rtp://239.10.0.239:5140
咪视界3,rtp://239.10.0.19:5140
咪视界4,rtp://239.10.0.20:5140
咪视界4K,rtp://239.10.0.240:5140
咪视界5,rtp://239.10.0.21:5140
咪视界6,rtp://239.10.0.22:5140
咪视界7,rtp://239.10.0.23:5140
咪视界8,rtp://239.10.0.24:5140
咪视界9,rtp://239.10.0.25:5140
在线教育,rtp://239.11.0.228:5140
在线教育,rtp://239.11.0.229:5140
在线教育1,rtp://239.11.0.230:5140
在线教育2,rtp://239.11.0.231:5140
在线教育3,rtp://239.11.0.233:5140
天府乐趣综合,rtp://239.10.0.195:5140
天府名医在线,rtp://239.10.0.139:5140
天府启蒙乐园,rtp://239.10.0.158:5140
天府教育综合,rtp://239.10.0.136:5140
天府时尚生活,rtp://239.10.0.144:5140
天府时尚走秀,rtp://239.10.0.141:5140
天府星动娱乐,rtp://239.10.0.142:5140
天府积木宝贝,rtp://239.10.0.157:5140
天府绚影高清影院,rtp://239.10.0.188:5140
天府财经频道,rtp://239.10.0.194:5140
天府辣妈学院,rtp://239.10.0.137:5140
天府风尚美食,rtp://239.10.0.138:5140
天府魔力TV,rtp://239.10.0.145:5140
天府魔力荟萃,rtp://239.10.0.140:5140
奇趣动漫,rtp://239.10.0.216:5140
安多卫视,rtp://239.11.0.124:5140
宏伟巨献,rtp://239.10.0.208:5140
峥嵘岁月,rtp://239.10.0.205:5140
快乐假期,rtp://239.10.0.215:5140
快乐购,rtp://239.10.0.230:5140
情感热播,rtp://239.10.0.202:5140
我看剧场,rtp://239.10.0.204:5140
新动漫,rtp://239.10.0.159:5140
时尚购物,rtp://239.10.0.225:5140
星空,rtp://239.11.0.156:5140
欢乐启蒙,rtp://239.10.0.217:5140
玩具乐园,rtp://239.10.0.218:5140
电竞世界,rtp://239.10.0.167:5140
稻城电视台,rtp://239.10.0.29:5140
童童乐园,rtp://239.10.0.210:5140
精彩成都,rtp://239.10.0.223:5140
红色经典,rtp://239.10.0.201:5140
购物频道,rtp://239.10.0.226:5140
购物频道,rtp://239.10.0.227:5140
超级体育,rtp://239.10.0.168:5140
超级体育2,rtp://239.11.0.232:5140
趣乐探险,rtp://239.10.0.219:5140
酷乐卡通,rtp://239.10.0.214:5140
铁路电视,rtp://239.11.0.191:5140
阳光日记,rtp://239.10.0.209:5140
青春在线,rtp://239.10.0.206:5140
黑莓电影,rtp://239.11.0.148:5140
