# 补充IP列表 - 原文件: 江西电信.txt
# 生成时间: 2026-05-28 17:16:21
# 格式: C-D,rtp://A.B.C.D:端口

# ===== 网段: 239.252.219.x =====
# 已有IP: 121 个, 缺失IP: 133 个
# 规律: 固定端口 5140

220-176,rtp://239.252.220.176:5140
220-178,rtp://239.252.220.178:5140
220-182,rtp://239.252.220.182:5140
220-191,rtp://239.252.220.191:5140
220-194,rtp://239.252.220.194:5140
220-197,rtp://239.252.220.197:5140
220-199,rtp://239.252.220.199:5140
220-220,rtp://239.252.220.220:5140
220-221,rtp://239.252.220.221:5140
220-222,rtp://239.252.220.222:5140
220-239,rtp://239.252.220.239:5140
220-244,rtp://239.252.220.244:5140
220-245,rtp://239.252.220.245:5140
220-246,rtp://239.252.220.246:5140
220-247,rtp://239.252.220.247:5140
220-248,rtp://239.252.220.248:5140
220-249,rtp://239.252.220.249:5140
220-250,rtp://239.252.220.250:5140
220-251,rtp://239.252.220.251:5140
220-252,rtp://239.252.220.252:5140
220-253,rtp://239.252.220.253:5140
220-254,rtp://239.252.220.254:5140

# ===== 总计补充: 276 个IP =====
