山东联通-组播1,#genre#
青岛QTV2,http://39.77.22.252:4002/rtp/239.253.254.250:8000
青岛QTV3,http://39.77.22.252:4002/rtp/239.253.254.251:8000
青岛QTV4,http://39.77.22.252:4002/rtp/239.253.254.252:8000
青岛李沧,http://39.77.22.252:4002/rtp/239.253.254.253:8000
青岛生活频道,http://39.77.22.252:4002/rtp/239.253.254.244:8000
青岛综合频道,http://39.77.22.252:4002/rtp/239.253.254.243:8000
河南梨园频道,http://39.77.22.252:4002/rtp/239.253.254.139:8000

CGTN西班牙语,http://39.77.22.252:4002/rtp/239.253.254.182:8000
CGTN阿拉伯语,http://39.77.22.252:4002/rtp/239.253.254.184:8000
崂山电视台,http://39.77.22.252:4002/rtp/239.253.254.242:8000
平度新闻综合,http://39.77.22.252:4002/rtp/239.253.254.248:8000
海洋频道,http://39.77.22.252:4002/rtp/239.253.254.67:8000
综合1,http://39.77.22.252:4002/rtp/239.253.254.245:8000
综合2,http://39.77.22.252:4002/rtp/239.253.254.246:8000
莱西综合频道,http://39.77.22.252:4002/rtp/239.253.254.247:8000
