云南电信-组播1,#genre#
普洱孟连HD,http://106.59.2.96:55555/udp/239.200.201.163:8460
普洱宁洱HD,http://106.59.2.96:55555/udp/239.200.201.153:8436
普洱思茅区HD,http://106.59.2.96:55555/udp/239.200.200.182:8432
普洱景东HD,http://106.59.2.96:55555/udp/239.200.200.180:8444
普洱景谷县HD,http://106.59.2.96:55555/udp/239.200.200.185:8448
普洱江城HD,http://106.59.2.96:55555/udp/239.200.201.165:8456
普洱澜沧HD,http://106.59.2.96:55555/udp/239.200.201.162:8464
普洱电视HD,http://106.59.2.96:55555/udp/239.200.200.138:8804
普洱综合HD,http://106.59.2.96:55555/udp/239.200.200.126:8800
普洱西盟HD,http://106.59.2.96:55555/udp/239.200.201.149:8468
普洱镇沅HD,http://106.59.2.96:55555/udp/239.200.201.160:8452
临沧2HD,http://106.59.2.96:55555/udp/239.200.200.139:8904
临沧临翔HD,http://106.59.2.96:55555/udp/239.200.201.24:8486
临沧云县SD,http://106.59.2.96:55555/udp/239.200.201.10:8518
临沧凤庆SD,http://106.59.2.96:55555/udp/239.200.201.23:8498
临沧双江HD,http://106.59.2.96:55555/udp/239.200.201.20:8550
临沧永德HD,http://106.59.2.96:55555/udp/239.200.201.22:8510
临沧沧源SD,http://106.59.2.96:55555/udp/239.200.201.19:8534
临沧综合HD,http://106.59.2.96:55555/udp/239.200.200.140:8900
临沧耿马HD,http://106.59.2.96:55555/udp/239.200.201.18:8542
临沧镇康HD,http://106.59.2.96:55555/udp/239.200.201.21:8526
楚雄元谋SD,http://106.59.2.96:55555/udp/239.200.201.59:8782
楚雄双柏HD,http://106.59.2.96:55555/udp/239.200.201.17:8734
楚雄大姚HD,http://106.59.2.96:55555/udp/239.200.201.16:8766
楚雄姚安HD,http://106.59.2.96:55555/udp/239.200.201.134:8324
楚雄新闻频道,http://106.59.2.96:55555/rtp/239.200.200.116:8708
楚雄武定HD,http://106.59.2.96:55555/udp/239.200.201.117:8328
楚雄永仁县HD,http://106.59.2.96:55555/udp/239.200.201.76:8814
红河个旧HD,http://106.59.2.96:55555/udp/239.200.201.87:8248
红河建水HD,http://106.59.2.96:55555/udp/239.200.200.158:8758
红河开远HD,http://106.59.2.96:55555/udp/239.200.201.88:8252
红河弥勒HD,http://106.59.2.96:55555/udp/239.200.201.132:8380
红河河口HD,http://106.59.2.96:55555/udp/239.200.200.177:8408
红河泸西HD,http://106.59.2.96:55555/udp/239.200.201.118:8392
红河红河县HD,http://106.59.2.96:55555/udp/239.200.201.166:8400
红河蒙自HD,http://106.59.2.96:55555/udp/239.200.201.148:8376
红河金平HD,http://106.59.2.96:55555/udp/239.200.201.131:8404
文山富宁HD,http://106.59.2.96:55555/udp/239.200.201.140:8492
文山广南HD,http://106.59.2.96:55555/udp/239.200.201.191:8488
文山综合HD,http://106.59.2.96:55555/udp/239.200.200.124:8650
文山西畴HD,http://106.59.2.96:55555/udp/239.200.201.82:8662
文山马关HD,http://106.59.2.96:55555/udp/239.200.201.93:8256
文山麻栗坡HD,http://106.59.2.96:55555/udp/239.200.201.190:8480
大理云龙HD,http://106.59.2.96:55555/udp/239.200.200.162:8336
