广东移动中兴-组播1,#genre#
汕头综合,http://gaoxing.dns.army:10086/rtp/239.21.0.98:3732
惠州公共,http://gaoxing.dns.army:10086/rtp/239.21.0.28:3452
惠州综合,http://gaoxing.dns.army:10086/rtp/239.21.0.27:3448
梅州综合,http://gaoxing.dns.army:10086/rtp/239.21.0.149:3940
汕尾新闻综合,http://gaoxing.dns.army:10086/rtp/239.21.0.89:3696
汕尾生活,http://gaoxing.dns.army:10086/rtp/239.21.0.90:3700
汕尾综合,http://gaoxing.dns.army:10086/rtp/239.20.0.23:3312
河源公共,http://gaoxing.dns.army:10086/rtp/239.21.0.49:3536
河源综合,http://gaoxing.dns.army:10086/rtp/239.21.0.48:3532
潮州民生,http://gaoxing.dns.army:10086/rtp/239.21.0.146:3928
潮州综合,http://gaoxing.dns.army:10086/rtp/239.21.0.145:3924
揭阳公共,http://gaoxing.dns.army:10086/rtp/239.21.0.83:3672
揭阳生活,http://gaoxing.dns.army:10086/rtp/239.21.0.92:3708
揭阳综合,http://gaoxing.dns.army:10086/rtp/239.21.0.82:3668
揭阳综合,http://gaoxing.dns.army:10086/rtp/239.21.0.91:3704

CBN幸福剧场,http://gaoxing.dns.army:10086/rtp/239.21.0.127:3852
CBN幸福娱乐,http://gaoxing.dns.army:10086/rtp/239.21.0.128:3856
CBN每日影院,http://gaoxing.dns.army:10086/rtp/239.21.0.125:3844
CBN风尚生活,http://gaoxing.dns.army:10086/rtp/239.21.0.126:3848
CCTV-4k,http://gaoxing.dns.army:10086/rtp/239.21.0.123:3836
CCTV-4k,http://gaoxing.dns.army:10086/rtp/239.21.0.124:3840
GCTN,http://gaoxing.dns.army:10086/rtp/239.20.0.186:2170
华数电影,http://gaoxing.dns.army:10086/rtp/239.20.0.232:2262
华数电视剧,http://gaoxing.dns.army:10086/rtp/239.20.0.234:2266
南国都市-4K,http://gaoxing.dns.army:10086/rtp/239.21.0.132:3872
客家生活,http://gaoxing.dns.army:10086/rtp/239.21.0.150:3944
广告,http://gaoxing.dns.army:10086/rtp/239.21.0.136:3888
广告,http://gaoxing.dns.army:10086/rtp/239.21.0.138:3896
新闻综合,http://gaoxing.dns.army:10086/rtp/239.21.0.135:3884
新闻综合,http://gaoxing.dns.army:10086/rtp/239.21.0.137:3892
现代教育,http://gaoxing.dns.army:10086/rtp/239.20.0.128:2054
现代教育,http://gaoxing.dns.army:10086/rtp/239.21.0.148:3936
百视通直播室101,http://gaoxing.dns.army:10086/rtp/239.20.0.42:3236
百视通直播室102,http://gaoxing.dns.army:10086/rtp/239.20.0.41:3240
百视通直播室103,http://gaoxing.dns.army:10086/rtp/239.20.0.40:3244
百视通直播室104,http://gaoxing.dns.army:10086/rtp/239.20.0.39:3248
百视通直播室105,http://gaoxing.dns.army:10086/rtp/239.20.0.38:3252
百视通直播室106,http://gaoxing.dns.army:10086/rtp/239.20.0.37:3256
百视通直播室107,http://gaoxing.dns.army:10086/rtp/239.20.0.36:3260
移动频道,http://gaoxing.dns.army:10086/rtp/239.20.0.133:2064
