内蒙古电信-组播1,#genre#
呼伦贝尔新闻综合,http://123.179.62.237:4022/rtp/239.29.0.19:5000
呼伦贝尔生活资讯,http://123.179.62.237:4022/rtp/239.29.0.21:5000
呼市影视娱乐,http://123.179.62.237:4022/rtp/239.29.0.37:5000
呼市新闻综合,http://123.179.62.237:4022/rtp/239.29.0.35:5000
呼市都市,http://123.179.62.237:4022/rtp/239.29.0.36:5000
和林格尔,http://123.179.62.237:4022/rtp/239.29.0.183:5000
喀喇沁县,http://123.179.62.237:4022/rtp/239.29.1.150:5000
土左旗,http://123.179.62.237:4022/rtp/239.29.0.188:5000
地理,http://123.179.62.237:4022/rtp/239.29.1.46:5001
墨宝,http://123.179.62.237:4022/rtp/239.29.0.140:5000
多伦,http://123.179.62.237:4022/rtp/239.29.0.155:5000
太仆寺旗,http://123.179.62.237:4022/rtp/239.29.0.154:5000
好学生,http://123.179.62.237:4022/rtp/239.29.1.49:5001
察右中旗,http://123.179.62.237:4022/rtp/239.29.1.106:5000
巴彦淖尔影视娱乐,http://123.179.62.237:4022/rtp/239.29.0.27:5000
巴彦淖尔新闻综合,http://123.179.62.237:4022/rtp/239.29.0.25:5000
巴彦淖尔经济生活,http://123.179.62.237:4022/rtp/239.29.0.26:5000
库伦电视台,http://123.179.62.237:4022/rtp/239.29.1.100:5000
扎兰屯,http://123.179.62.237:4022/rtp/239.29.1.109:5000
扎赉特旗,http://123.179.62.237:4022/rtp/239.29.0.185:5000
托克托电视台,http://123.179.62.237:4022/rtp/239.29.0.146:5000
收视指南,http://123.179.62.237:4022/rtp/239.29.1.58:5001
早教,http://123.179.62.237:4022/rtp/239.29.1.61:5001
时尚生活,http://123.179.62.237:4022/rtp/239.29.0.201:5000
杭后电视台,http://123.179.62.237:4022/rtp/239.29.0.149:5000
正蓝旗,http://123.179.62.237:4022/rtp/239.29.0.147:5000
正镶白旗,http://123.179.62.237:4022/rtp/239.29.0.153:5000
武川,http://123.179.62.237:4022/rtp/239.29.0.182:5000
法制天地,http://123.179.62.237:4022/rtp/239.29.0.196:5000
满洲里,http://123.179.62.237:4022/rtp/239.29.0.34:5000
相声小品,http://123.179.62.237:4022/rtp/239.29.1.23:5001
磴口,http://123.179.62.237:4022/rtp/239.29.0.156:5000
科右中旗,http://123.179.62.237:4022/rtp/239.29.0.178:5000
突泉电视台,http://123.179.62.237:4022/rtp/239.29.0.174:5000
精选,http://123.179.62.237:4022/rtp/239.29.1.77:5001
美人,http://123.179.62.237:4022/rtp/239.29.0.136:5000
翁牛特,http://123.179.62.237:4022/rtp/239.29.0.186:5000
苏尼特右旗,http://123.179.62.237:4022/rtp/239.29.0.191:5000
苏尼特左旗,http://123.179.62.237:4022/rtp/239.29.0.190:5000
西乌电视台,http://123.179.62.237:4022/rtp/239.29.0.181:5000
达茂电视台,http://123.179.62.237:4022/rtp/239.29.1.101:5000
鄂尔多斯新闻综合,http://123.179.62.237:4022/rtp/239.29.0.30:5000
鄂尔多斯生活,http://123.179.62.237:4022/rtp/239.29.0.32:5000
鄂尔多斯经济服务,http://123.179.62.237:4022/rtp/239.29.0.31:5000
鄂尔多斯蒙语频道,http://123.179.62.237:4022/rtp/239.29.0.33:5000
鉴赏,http://123.179.62.237:4022/rtp/239.29.0.137:5000
锡林郭勒1,http://123.179.62.237:4022/rtp/239.29.0.38:5000
锡林郭勒2,http://123.179.62.237:4022/rtp/239.29.0.39:5000
阿右旗,http://123.179.62.237:4022/rtp/239.29.0.175:5000
阿尔山电视台,http://123.179.62.237:4022/rtp/239.29.1.112:5000
阿巴嘎,http://123.179.62.237:4022/rtp/239.29.0.184:5000
音乐现场,http://123.179.62.237:4022/rtp/239.29.1.88:5001
额尔古纳,http://123.179.62.237:4022/rtp/239.29.1.132:5000
额济纳新闻综合,http://123.179.62.237:4022/rtp/239.29.0.177:5000
