吉林电信-组播1,#genre#
上海哈哈炫动,http://36.49.53.61:8800/rtp/239.37.0.065:5540
广东嘉佳卡通,http://36.49.53.61:8800/rtp:/239.37.0.67:5540
广东嘉佳卡通,http://36.49.53.61:8800/rtp/239.37.0.067:5540
咪咕体育,http://36.49.53.61:8800/rtp/239.37.0.194:5540
中国交通,http://36.49.53.61:8800/rtp/239.37.0.226:5540
环球奇观,http://36.49.53.61:8800/rtp/239.37.0.105:5540
环球奇观,http://36.49.53.61:8800/rtp:/239.37.0.70:5540
环球奇观,http://36.49.53.61:8800/rtp/239.37.0.070:5540
极速汽车,http://36.49.53.61:8800/rtp/239.37.0.237:5540
睛彩竞技,http://36.49.53.61:8800/rtp:/239.37.0.215:5540
睛彩篮球,http://36.49.53.61:8800/rtp:/239.37.0.38:5540
睛彩青少,http://36.49.53.61:8800/rtp:/239.37.0.40:5540
睛彩广场舞,http://36.49.53.61:8800/rtp:/239.37.0.42:5540
好享购物,http://36.49.53.61:8800/rtp/239.37.0.185:5540
央广购物,http://36.49.53.61:8800/rtp/239.37.0.184:5540
优购物,http://36.49.53.61:8800/rtp/239.37.0.182:5540
家有购物,http://36.49.53.61:8800/rtp/239.37.0.110:5540

长春市民生活,http://36.49.53.61:8800/rtp:/239.37.0.98:5540
长春文旅体育,http://36.49.53.61:8800/rtp:/239.37.0.97:5540
长春汽车,http://36.49.53.61:8800/rtp:/239.37.0.100:5540
长春经济,http://36.49.53.61:8800/rtp:/239.37.0.99:5540
长春综合,http://36.49.53.61:8800/rtp:/239.37.0.96:5540
四平1,http://36.49.53.61:8800/rtp/239.37.0.130:5540
四平2,http://36.49.53.61:8800/rtp/239.37.0.131:5540
白山新闻综合1,http://36.49.53.61:8800/rtp/239.37.0.137:5540
白山旅游生活2,http://36.49.53.61:8800/rtp/239.37.0.138:5540
松原生活频道,http://36.49.53.61:8800/rtp/239.37.0.247:5540
松原综合频道,http://36.49.53.61:8800/rtp/239.37.0.246:5540
白城1,http://36.49.53.61:8800/rtp:/239.37.0.135:5540
白城2,http://36.49.53.61:8800/rtp:/239.37.0.136:5540
延边TV1,http://36.49.53.61:8800/rtp/239.37.0.248:5540
延边TV2,http://36.49.53.61:8800/rtp/239.37.0.249:5540
上海乐游频道,http://36.49.53.61:8800/rtp/239.37.0.236:5540

DFTV综合,http://36.49.53.61:8800/rtp/239.37.0.179:5540
TTV1,http://36.49.53.61:8800/rtp/239.37.0.132:5540
TTV2,http://36.49.53.61:8800/rtp/239.37.0.133:5540
TTV3,http://36.49.53.61:8800/rtp/239.37.0.134:5540
TTV洮南1,http://36.49.53.61:8800/rtp/239.37.0.218:5540
crt娱乐,http://36.49.53.61:8800/rtp/239.37.0.097:5540
crt市民,http://36.49.53.61:8800/rtp/239.37.0.098:5540
crt经济,http://36.49.53.61:8800/rtp/239.37.0.099:5540
crt综合,http://36.49.53.61:8800/rtp/239.37.0.096:5540
tv1,http://36.49.53.61:8800/rtp/239.37.0.167:5540
东辽,http://36.49.53.61:8800/rtp:/239.37.0.178:5540
乾安综合,http://36.49.53.61:8800/rtp/239.37.0.181:5540
农安综合,http://36.49.53.61:8800/rtp/239.37.0.144:5540
前郭,http://36.49.53.61:8800/rtp:/239.37.0.146:5540
双辽,http://36.49.53.61:8800/rtp/239.37.0.169:5540
双阳,http://36.49.53.61:8800/rtp:/239.37.1.24:5540
吉视东北戏曲,http://36.49.53.61:8800/rtp:/239.37.1.9:5540
吉视乡村,http://36.49.53.61:8800/rtp:/239.37.1.5:5540
吉视公共.新闻,http://36.49.53.61:8800/rtp:/239.37.1.6:5540
吉视影视,http://36.49.53.61:8800/rtp:/239.37.1.3:5540
吉视生活,http://36.49.53.61:8800/rtp:/239.37.1.4:5540
吉视综艺.文化,http://36.49.53.61:8800/rtp:/239.37.1.7:5540
吉视都市,http://36.49.53.61:8800/rtp:/239.37.1.2:5540
图门电视台,http://36.49.53.61:8800/rtp/239.37.0.166:5540
大安,http://36.49.53.61:8800/rtp:/239.37.0.177:5540
幸福剧场,http://36.49.53.61:8800/rtp/239.37.0.222:5540
幸福娱乐,http://36.49.53.61:8800/rtp/239.37.0.223:5540
广告购物,http://36.49.53.61:8800/rtp/239.37.0.253:5540
扶余电视台,http://36.49.53.61:8800/rtp/239.37.0.180:5540
抚松,http://36.49.53.61:8800/rtp:/239.37.0.219:5540
敦化,http://36.49.53.61:8800/rtp:/239.37.1.29:5540
文化宝库,http://36.49.53.61:8800/rtp/239.37.0.092:5540
新动漫,http://36.49.53.61:8800/rtp/239.37.0.106:5540
新闻综合,http://36.49.53.61:8800/rtp/239.37.0.250:5540
无台标,http://36.49.53.61:8800/rtp/239.37.0.089:5540
时尚购物[1024*576],http://36.49.53.61:8800/rtp/239.37.0.183:5540
未知,http://36.49.53.61:8800/rtp/239.37.0.165:5540
未知TV,http://36.49.53.61:8800/rtp/239.37.0.171:5540
未知地方综合,http://36.49.53.61:8800/rtp/239.37.0.175:5540
未知电视台,http://36.49.53.61:8800/rtp/239.37.0.220:5540
未知综合,http://36.49.53.61:8800/rtp/239.37.0.172:5540
桦甸,http://36.49.53.61:8800/rtp:/239.37.0.225:5540
梅河口电视台,http://36.49.53.61:8800/rtp/239.37.0.173:5540
梨树新闻,http://36.49.53.61:8800/rtp/239.37.0.168:5540
每日影视,http://36.49.53.61:8800/rtp/239.37.0.221:5540
民生社会,http://36.49.53.61:8800/rtp/239.37.0.251:5540
汽摩,http://36.49.53.61:8800/rtp:/239.37.0.90:5540
汽摩,http://36.49.53.61:8800/rtp/239.37.0.090:5540
生活频道,http://36.49.53.61:8800/rtp/239.37.0.129:5540
磐石综合频道,http://36.49.53.61:8800/rtp/239.37.0.164:5540
综合纪实,http://36.49.53.61:8800/rtp/239.37.0.170:5540
聚沙环球精选,http://36.49.53.61:8800/rtp/239.37.0.139:5540
舒兰,http://36.49.53.61:8800/rtp:/239.37.0.217:5540
蛟河,http://36.49.53.61:8800/rtp:/239.37.0.252:5540
辉南,http://36.49.53.61:8800/rtp:/239.37.0.174:5540
通榆,http://36.49.53.61:8800/rtp:/239.37.0.176:5540
长影频道,http://36.49.53.61:8800/rtp/239.37.0.125:5540
集安,http://36.49.53.61:8800/rtp:/239.37.0.145:5540
靓装,http://36.49.53.61:8800/rtp/239.37.0.087:5540
风尚购物,http://36.49.53.61:8800/rtp/239.37.0.143:5540

吉林电信-组播2,#genre#
吉林卫视,http://tv.yzzdxc.cn:16666/rtp:/239.37.0.111:5540

吉林1-综合,http://tv.yzzdxc.cn:16666/rtp:/239.37.0.127:5540
吉林2-科教,http://tv.yzzdxc.cn:16666/rtp:/239.37.0.128:5540
吉林教育,http://tv.yzzdxc.cn:16666/rtp/239.37.0.126:5540
吉林篮球,http://tv.yzzdxc.cn:16666/rtp/239.37.0.212:5540
吉林篮球,http://tv.yzzdxc.cn:16666/rtp/239.37.0.216:5540

优优宝贝,http://tv.yzzdxc.cn:16666/rtp/239.37.0.107:5540
BesTV游戏,http://tv.yzzdxc.cn:16666/rtp/239.37.0.162:5540
北京纪实科教,http://tv.yzzdxc.cn:16666/rtp/239.37.0.101:5540
北京卡酷少儿,http://tv.yzzdxc.cn:16666/rtp:/239.37.0.60:5540
北京卡酷少儿,http://tv.yzzdxc.cn:16666/rtp:/239.37.0.76:5540
北京卡酷少儿,http://tv.yzzdxc.cn:16666/rtp/239.37.0.060:5540
湖南快乐垂钓,http://tv.yzzdxc.cn:16666/rtp/239.37.0.244:5540
湖南茶频道,http://tv.yzzdxc.cn:16666/rtp/239.37.0.245:5540
湖南金鹰纪实,http://tv.yzzdxc.cn:16666/rtp/239.37.0.161:5540
湖南金鹰卡通,http://tv.yzzdxc.cn:16666/rtp:/239.37.1.19:5540
湖南金鹰卡通,http://tv.yzzdxc.cn:16666/rtp/239.37.0.061:5540
河南梨园频道,http://tv.yzzdxc.cn:16666/rtp/239.37.0.088:5540
河南梨园频道,http://tv.yzzdxc.cn:16666/rtp/239.37.0.228:5540
河南武术世界,http://tv.yzzdxc.cn:16666/rtp/239.37.0.076:5540
河南文物宝库,http://tv.yzzdxc.cn:16666/rtp:/239.37.0.87:5540
陕西国学频道,http://tv.yzzdxc.cn:16666/rtp:/239.37.0.93:5540
陕西国学频道,http://tv.yzzdxc.cn:16666/rtp/239.37.0.093:5540
上海法治天地,http://tv.yzzdxc.cn:16666/rtp/239.37.0.238:5540
上海生活时尚,http://tv.yzzdxc.cn:16666/rtp/239.37.0.240:5540
上海都市剧场,http://tv.yzzdxc.cn:16666/rtp/239.37.0.241:5540
上海游戏风云,http://tv.yzzdxc.cn:16666/rtp/239.37.0.243:5540
上海动漫秀场,http://tv.yzzdxc.cn:16666/rtp/239.37.0.242:5540
上海金色学堂,http://tv.yzzdxc.cn:16666/rtp/239.37.0.239:5540
上海哈哈炫动,http://tv.yzzdxc.cn:16666/rtp:/239.37.0.65:5540
上海哈哈炫动,http://tv.yzzdxc.cn:16666/rtp/239.37.0.065:5540
广东嘉佳卡通,http://tv.yzzdxc.cn:16666/rtp:/239.37.0.67:5540
广东嘉佳卡通,http://tv.yzzdxc.cn:16666/rtp/239.37.0.067:5540
咪咕体育,http://tv.yzzdxc.cn:16666/rtp/239.37.0.194:5540
中国交通,http://tv.yzzdxc.cn:16666/rtp/239.37.0.226:5540
环球奇观,http://tv.yzzdxc.cn:16666/rtp/239.37.0.105:5540
环球奇观,http://tv.yzzdxc.cn:16666/rtp:/239.37.0.70:5540
环球奇观,http://tv.yzzdxc.cn:16666/rtp/239.37.0.070:5540
极速汽车,http://tv.yzzdxc.cn:16666/rtp/239.37.0.237:5540
睛彩竞技,http://tv.yzzdxc.cn:16666/rtp:/239.37.0.215:5540
睛彩篮球,http://tv.yzzdxc.cn:16666/rtp:/239.37.0.38:5540
睛彩青少,http://tv.yzzdxc.cn:16666/rtp:/239.37.0.40:5540
睛彩广场舞,http://tv.yzzdxc.cn:16666/rtp:/239.37.0.42:5540
好享购物,http://tv.yzzdxc.cn:16666/rtp/239.37.0.185:5540
央广购物,http://tv.yzzdxc.cn:16666/rtp/239.37.0.184:5540
优购物,http://tv.yzzdxc.cn:16666/rtp/239.37.0.182:5540
家有购物,http://tv.yzzdxc.cn:16666/rtp/239.37.0.110:5540

长春市民生活,http://tv.yzzdxc.cn:16666/rtp:/239.37.0.98:5540
长春文旅体育,http://tv.yzzdxc.cn:16666/rtp:/239.37.0.97:5540
长春汽车,http://tv.yzzdxc.cn:16666/rtp:/239.37.0.100:5540
长春经济,http://tv.yzzdxc.cn:16666/rtp:/239.37.0.99:5540
长春综合,http://tv.yzzdxc.cn:16666/rtp:/239.37.0.96:5540
四平1,http://tv.yzzdxc.cn:16666/rtp/239.37.0.130:5540
四平2,http://tv.yzzdxc.cn:16666/rtp/239.37.0.131:5540
白山新闻综合1,http://tv.yzzdxc.cn:16666/rtp/239.37.0.137:5540
白山旅游生活2,http://tv.yzzdxc.cn:16666/rtp/239.37.0.138:5540
松原生活频道,http://tv.yzzdxc.cn:16666/rtp/239.37.0.247:5540
松原综合频道,http://tv.yzzdxc.cn:16666/rtp/239.37.0.246:5540
白城1,http://tv.yzzdxc.cn:16666/rtp:/239.37.0.135:5540
白城2,http://tv.yzzdxc.cn:16666/rtp:/239.37.0.136:5540
延边TV1,http://tv.yzzdxc.cn:16666/rtp/239.37.0.248:5540
延边TV2,http://tv.yzzdxc.cn:16666/rtp/239.37.0.249:5540
上海乐游频道,http://tv.yzzdxc.cn:16666/rtp/239.37.0.236:5540

DFTV综合,http://tv.yzzdxc.cn:16666/rtp/239.37.0.179:5540
TTV1,http://tv.yzzdxc.cn:16666/rtp/239.37.0.132:5540
TTV2,http://tv.yzzdxc.cn:16666/rtp/239.37.0.133:5540
TTV3,http://tv.yzzdxc.cn:16666/rtp/239.37.0.134:5540
TTV洮南1,http://tv.yzzdxc.cn:16666/rtp/239.37.0.218:5540
crt娱乐,http://tv.yzzdxc.cn:16666/rtp/239.37.0.097:5540
crt市民,http://tv.yzzdxc.cn:16666/rtp/239.37.0.098:5540
crt经济,http://tv.yzzdxc.cn:16666/rtp/239.37.0.099:5540
crt综合,http://tv.yzzdxc.cn:16666/rtp/239.37.0.096:5540
tv1,http://tv.yzzdxc.cn:16666/rtp/239.37.0.167:5540
东辽,http://tv.yzzdxc.cn:16666/rtp:/239.37.0.178:5540
乾安综合,http://tv.yzzdxc.cn:16666/rtp/239.37.0.181:5540
农安综合,http://tv.yzzdxc.cn:16666/rtp/239.37.0.144:5540
前郭,http://tv.yzzdxc.cn:16666/rtp:/239.37.0.146:5540
双辽,http://tv.yzzdxc.cn:16666/rtp/239.37.0.169:5540
双阳,http://tv.yzzdxc.cn:16666/rtp:/239.37.1.24:5540
吉视东北戏曲,http://tv.yzzdxc.cn:16666/rtp:/239.37.1.9:5540
吉视乡村,http://tv.yzzdxc.cn:16666/rtp:/239.37.1.5:5540
吉视公共.新闻,http://tv.yzzdxc.cn:16666/rtp:/239.37.1.6:5540
吉视影视,http://tv.yzzdxc.cn:16666/rtp:/239.37.1.3:5540
吉视生活,http://tv.yzzdxc.cn:16666/rtp:/239.37.1.4:5540
吉视综艺.文化,http://tv.yzzdxc.cn:16666/rtp:/239.37.1.7:5540
吉视都市,http://tv.yzzdxc.cn:16666/rtp:/239.37.1.2:5540
图门电视台,http://tv.yzzdxc.cn:16666/rtp/239.37.0.166:5540
大安,http://tv.yzzdxc.cn:16666/rtp:/239.37.0.177:5540
幸福剧场,http://tv.yzzdxc.cn:16666/rtp/239.37.0.222:5540
幸福娱乐,http://tv.yzzdxc.cn:16666/rtp/239.37.0.223:5540
广告购物,http://tv.yzzdxc.cn:16666/rtp/239.37.0.253:5540
扶余电视台,http://tv.yzzdxc.cn:16666/rtp/239.37.0.180:5540
抚松,http://tv.yzzdxc.cn:16666/rtp:/239.37.0.219:5540
敦化,http://tv.yzzdxc.cn:16666/rtp:/239.37.1.29:5540
文化宝库,http://tv.yzzdxc.cn:16666/rtp/239.37.0.092:5540
新动漫,http://tv.yzzdxc.cn:16666/rtp/239.37.0.106:5540
新闻综合,http://tv.yzzdxc.cn:16666/rtp/239.37.0.250:5540
无台标,http://tv.yzzdxc.cn:16666/rtp/239.37.0.089:5540
时尚购物[1024*576],http://tv.yzzdxc.cn:16666/rtp/239.37.0.183:5540
未知,http://tv.yzzdxc.cn:16666/rtp/239.37.0.165:5540
未知TV,http://tv.yzzdxc.cn:16666/rtp/239.37.0.171:5540
未知地方综合,http://tv.yzzdxc.cn:16666/rtp/239.37.0.175:5540
未知电视台,http://tv.yzzdxc.cn:16666/rtp/239.37.0.220:5540
未知综合,http://tv.yzzdxc.cn:16666/rtp/239.37.0.172:5540
桦甸,http://tv.yzzdxc.cn:16666/rtp:/239.37.0.225:5540
梅河口电视台,http://tv.yzzdxc.cn:16666/rtp/239.37.0.173:5540
梨树新闻,http://tv.yzzdxc.cn:16666/rtp/239.37.0.168:5540
每日影视,http://tv.yzzdxc.cn:16666/rtp/239.37.0.221:5540
民生社会,http://tv.yzzdxc.cn:16666/rtp/239.37.0.251:5540
汽摩,http://tv.yzzdxc.cn:16666/rtp:/239.37.0.90:5540
汽摩,http://tv.yzzdxc.cn:16666/rtp/239.37.0.090:5540
生活频道,http://tv.yzzdxc.cn:16666/rtp/239.37.0.129:5540
磐石综合频道,http://tv.yzzdxc.cn:16666/rtp/239.37.0.164:5540
综合纪实,http://tv.yzzdxc.cn:16666/rtp/239.37.0.170:5540
聚沙环球精选,http://tv.yzzdxc.cn:16666/rtp/239.37.0.139:5540
舒兰,http://tv.yzzdxc.cn:16666/rtp:/239.37.0.217:5540
蛟河,http://tv.yzzdxc.cn:16666/rtp:/239.37.0.252:5540
辉南,http://tv.yzzdxc.cn:16666/rtp:/239.37.0.174:5540
通榆,http://tv.yzzdxc.cn:16666/rtp:/239.37.0.176:5540
长影频道,http://tv.yzzdxc.cn:16666/rtp/239.37.0.125:5540
集安,http://tv.yzzdxc.cn:16666/rtp:/239.37.0.145:5540
靓装,http://tv.yzzdxc.cn:16666/rtp/239.37.0.087:5540
风尚购物,http://tv.yzzdxc.cn:16666/rtp/239.37.0.143:5540
