安徽电信-组播1,#genre#
祁门综合频道,http://183.162.205.235:4022/rtp/238.1.79.14:4224
繁昌新闻综合,http://183.162.205.235:4022/rtp/238.1.78.190:7392
肥西新闻综合,http://183.162.205.235:4022/rtp/238.1.78.185:7352
萧县新闻综合,http://183.162.205.235:4022/rtp/238.1.79.46:4480
蒙城新闻频道,http://183.162.205.235:4022/rtp/238.1.79.19:4264
郎溪新闻频道,http://183.162.205.235:4022/rtp/238.1.78.214:7584
金寨综合频道,http://183.162.205.235:4022/rtp/238.1.79.21:4280
阜南新闻综合,http://183.162.205.235:4022/rtp/238.1.79.11:4200
霍山综合频道,http://183.162.205.235:4022/rtp/238.1.78.220:7632
霍邱新闻综合,http://183.162.205.235:4022/rtp/238.1.78.119:6824
黟县新闻综合,http://183.162.205.235:4022/rtp/238.1.78.149:7064

安徽电信-组播4,#genre#
CCTV风云音乐,http://117.57.37.242:4022/rtp/238.1.79.64:4648
CCTV世界地理,http://117.57.37.242:4022/rtp/238.1.79.60:4616
CCTV第一剧场,http://117.57.37.242:4022/rtp/238.1.79.63:4640
CCTV风云剧场,http://117.57.37.242:4022/rtp/238.1.79.62:4632
CCTV央视精品,http://117.57.37.242:4022/rtp/238.1.79.54:4568
CCTV兵器科技,http://117.57.37.242:4022/rtp/238.1.79.56:4584
CCTV风云足球,http://117.57.37.242:4022/rtp/238.1.79.57:4592
CCTV高网频道,http://117.57.37.242:4022/rtp/238.1.79.58:4600
CCTV怀旧剧场,http://117.57.37.242:4022/rtp/238.1.79.61:4624
CCTV女性时尚,http://117.57.37.242:4022/rtp/238.1.79.55:4576
CCTV央视台球,http://117.57.37.242:4022/rtp/238.1.79.59:4608
CCTV电视指南,http://117.57.37.242:4022/rtp/238.1.79.53:4560
北京卡酷少儿,http://117.57.37.242:4022/rtp/238.1.78.97:6648
湖南快乐垂钓,http://117.57.37.242:4022/rtp/238.1.79.31:4360
湖南茶频道,http://117.57.37.242:4022/rtp/238.1.79.30:4352
湖南金鹰纪实,http://117.57.37.242:4022/rtp/238.1.79.9:4184
湖南金鹰卡通,http://117.57.37.242:4022/rtp/238.1.78.100:6672
上海东方财经,http://117.57.37.242:4022/rtp/238.1.78.73:6456
上海法治天地,http://117.57.37.242:4022/rtp/238.1.78.84:6544
上海生活时尚,http://117.57.37.242:4022/rtp/238.1.78.155:7112
上海都市剧场,http://117.57.37.242:4022/rtp/238.1.78.74:6464
上海游戏风云,http://117.57.37.242:4022/rtp/238.1.78.81:6520
上海动漫秀场,http://117.57.37.242:4022/rtp/238.1.78.154:7104
上海乐游,http://117.57.37.242:4022/rtp/238.1.78.151:7080
上海纪实人文,http://117.57.37.242:4022/rtp/238.1.78.153:7096
上海金色学堂,http://117.57.37.242:4022/rtp/238.1.78.76:6480

亳州农村频道,http://117.57.37.242:4022/rtp/238.1.78.129:6904
亳州综合频道,http://117.57.37.242:4022/rtp/238.1.78.128:6896
六安社会生活,http://117.57.37.242:4022/rtp/238.1.78.145:7032
六安综合频道,http://117.57.37.242:4022/rtp/238.1.78.144:7024
合肥新闻频道,http://117.57.37.242:4022/rtp/238.1.78.111:6760
安庆新闻综合,http://117.57.37.242:4022/rtp/238.1.78.117:6808
安庆经济生活,http://117.57.37.242:4022/rtp/238.1.78.118:6816
安徽公共频道,http://117.57.37.242:4022/rtp/238.1.79.43:4456
安徽农业科教,http://117.57.37.242:4022/rtp/238.1.79.40:4432
安徽国际频道,http://117.57.37.242:4022/rtp/238.1.78.61:6360
安徽影视频道,http://117.57.37.242:4022/rtp/238.1.79.42:4448
安徽经济生活,http://117.57.37.242:4022/rtp/238.1.79.44:4464
安徽综艺体育,http://117.57.37.242:4022/rtp/238.1.79.41:4440
宣城文旅生活,http://117.57.37.242:4022/rtp/238.1.78.143:7016
宣城综合频道,http://117.57.37.242:4022/rtp/238.1.78.142:7008
宿州公共频道,http://117.57.37.242:4022/rtp/238.1.78.122:6848
宿州新闻综合,http://117.57.37.242:4022/rtp/238.1.78.121:6840
