北京电信-组播1,#genre#
华数少儿动画,http://115.171.216.46:4000/rtp/225.1.8.207:9000
华数动画,http://115.171.216.46:4000/rtp/225.1.8.240:4120
华数精选,http://115.171.216.46:4000/rtp/225.1.8.234:4120
武侠剧场,http://115.171.216.46:4000/rtp/225.1.8.250:4120
重温经典,http://115.171.216.46:4000/rtp/225.1.8.39:8002
湖南快乐垂钓,http://115.171.216.46:4000/rtp/225.1.8.71:8002
湖南茶频道,http://115.171.216.46:4000/rtp/225.1.8.72:8002
湖南金鹰纪实,http://115.171.216.46:4000/rtp/225.1.8.31:8156
湖南金鹰卡通,http://115.171.216.46:4000/rtp/225.1.8.163:9252
上海魅力足球,http://115.171.216.46:4000/rtp:/225.1.1.58:8001
广东嘉佳卡通,http://115.171.216.46:4000/rtp/225.1.8.170:9268
中国交通,http://115.171.216.46:4000/rtp:/225.1.1.35:8001
光影,http://115.171.216.46:4000/rtp/225.1.8.244:4120
睛彩竞技,http://115.171.216.46:4000/rtp:/225.1.1.36:8001
睛彩篮球,http://115.171.216.46:4000/rtp:/225.1.1.37:8001
睛彩青少,http://115.171.216.46:4000/rtp:/225.1.1.38:8001
睛彩广场舞,http://115.171.216.46:4000/rtp:/225.1.1.39:8001
聚鲨环球精选,http://115.171.216.46:4000/udp/225.1.8.58:8002

北京IPTV4K超清,http://115.171.216.46:4000/rtp/225.1.8.211:8002
北京IPTV淘BABY,http://115.171.216.46:4000/rtp/225.1.8.36:8002
北京IPTV淘剧场,http://115.171.216.46:4000/rtp/225.1.8.37:8002
北京IPTV淘娱乐,http://115.171.216.46:4000/rtp/225.1.8.61:8002
北京IPTV淘电影,http://115.171.216.46:4000/rtp/225.1.8.38:8002
北京IPTV萌宠TV,http://115.171.216.46:4000/rtp/225.1.8.63:8002
北京体育休闲,http://115.171.216.46:4000/udp/225.1.8.23:8002
北京国际频道,http://115.171.216.46:4000/rtp/225.1.8.131:8002
北京影视频道,http://115.171.216.46:4000/udp/225.1.8.82:8000
北京文艺频道,http://115.171.216.46:4000/udp/225.1.8.22:8002
北京新闻频道,http://115.171.216.46:4000/udp/225.1.8.83:8000
北京生活频道,http://115.171.216.46:4000/udp/225.1.8.108:8002
北京财经频道,http://115.171.216.46:4000/udp/225.1.8.106:8002
密云电视台,http://115.171.216.46:4000/rtp/225.1.8.75:8002
房山电视台,http://115.171.216.46:4000/rtp/225.1.8.68:8002
朝阳融媒,http://115.171.216.46:4000/rtp/225.1.8.69:8002

IPTV5足球,http://115.171.216.46:4000/rtp/225.1.8.249:4120
IPTV7军事,http://115.171.216.46:4000/rtp/225.1.8.236:4120
IPTV10解密,http://115.171.216.46:4000/rtp/225.1.8.235:4120
IPTV11戏曲,http://115.171.216.46:4000/rtp/225.1.8.238:4120
IPTV14早教,http://115.171.216.46:4000/rtp/225.1.8.239:4120
IPTV15音乐现场,http://115.171.216.46:4000/rtp/225.1.8.230:4120
IPTV国学,http://115.171.216.46:4000/rtp/225.1.8.237:4120
IPTV地理,http://115.171.216.46:4000/rtp/225.1.8.231:4120
IPTV墨宝,http://115.171.216.46:4000/rtp/225.1.8.243:4120
IPTV好学生,http://115.171.216.46:4000/rtp/225.1.8.241:4120
IPTV收视指南,http://115.171.216.46:4000/rtp/225.1.8.201:8012
IPTV武术,http://115.171.216.46:4000/rtp/225.1.8.247:4120
IPTV爱生活,http://115.171.216.46:4000/rtp/225.1.8.246:4120
IPTV美人,http://115.171.216.46:4000/rtp/225.1.8.233:4120
IPTV美妆,http://115.171.216.46:4000/rtp/225.1.8.232:4120
IPTV鉴赏,http://115.171.216.46:4000/rtp/225.1.8.242:4120
台球,http://115.171.216.46:4000/rtp/225.1.8.245:4120
