上海电信-组播1,#genre#
BesTV4K动画,http://223.167.230.73:4022/rtp/233.18.204.171:5140
BesTV4K测试,http://223.167.230.73:4022/rtp/233.18.204.201:5140
BesTV4K电影,http://223.167.230.73:4022/rtp/233.18.204.169:5140
BesTV4K记录,http://223.167.230.73:4022/rtp/233.18.204.170:5140
BesTV百视通,http://223.167.230.73:4022/rtp/233.18.204.116:5140
BesTV直播10,http://223.167.230.73:4022/rtp/233.18.204.160:5140
北京卡酷少儿,http://223.167.230.73:4022/rtp/233.18.204.152:5140
北京卡酷少儿,http://223.167.230.73:4022/rtp/233.18.204.109:5140
上海动漫秀场,http://223.167.230.73:4022/rtp/233.18.204.46:5140
上海动漫秀场,http://223.167.230.73:4022/rtp/233.18.204.54:5140
上海游戏风云,http://223.167.230.73:4022/rtp/233.18.204.13:5140
上海游戏风云,http://223.167.230.73:4022/rtp/233.18.204.44:5140
上海乐游,http://223.167.230.73:4022/rtp/233.18.204.47:5140
上海法治天地,http://223.167.230.73:4022/rtp/233.18.204.12:5140
上海法治天地,http://223.167.230.73:4022/rtp/233.18.204.49:5140
上海都市剧场,http://223.167.230.73:4022/rtp/233.18.204.48:5140
上海多彩文体4K,http://223.167.230.73:4022/rtp/233.18.204.205:5140
上海多彩文体4K,http://223.167.230.73:4022/rtp/233.18.204.50:5140
上海多彩文体4K,http://223.167.230.73:4022/rtp/233.18.204.55:5140
上海多彩文体4K,http://223.167.230.73:4022/rtp/233.18.204.115:5140
上海金色学堂,http://223.167.230.73:4022/rtp/233.18.204.14:5140
上海金色学堂,http://223.167.230.73:4022/rtp/233.18.204.66:5140
上海生活时尚,http://223.167.230.73:4022/rtp/233.18.204.45:5140
上海第一财经,http://223.167.230.73:4022/rtp/233.18.204.5:5140
上海第一财经,http://223.167.230.73:4022/rtp/233.18.204.59:5140
上海第一财经,http://223.167.230.73:4022/rtp/233.18.204.65:5140
上海东方影视,http://223.167.230.73:4022/rtp/233.18.204.4:5140
